name	developer	date	handheld	generation	wikipedia_url	image	logo_svg	logo_png
Nintendo 64	Nintendo	1996	0	5	https://en.wikipedia.org/wiki/Nintendo_64	https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/N64-Console-Set.jpg/800px-N64-Console-Set.jpg	https://upload.wikimedia.org/wikipedia/en/0/04/Nintendo_64_Logo.svg	0
PlayStation	Sony	1994	0	5	https://en.wikipedia.org/wiki/PlayStation_(console)	https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/PSX-Console-wController.jpg/800px-PSX-Console-wController.jpg	https://upload.wikimedia.org/wikipedia/commons/4/4e/Playstation_logo_colour.svg	0
PlayStation 2	Sony	2000	0	6	https://en.wikipedia.org/wiki/PlayStation_2	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/PS2-Versions.jpg/677px-PS2-Versions.jpg	https://upload.wikimedia.org/wikipedia/commons/7/76/PlayStation_2_logo.svg	0
PlayStation 3	Sony	2006	0	7	https://en.wikipedia.org/wiki/PlayStation_3	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/PS3Versions.png/657px-PS3Versions.png	https://upload.wikimedia.org/wikipedia/commons/c/c7/PLAYSTATION_3_logo.svg	0
PlayStation 4	Sony	2013	0	8	https://en.wikipedia.org/wiki/PlayStation_4	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/PS4-Console-wDS4.jpg/800px-PS4-Console-wDS4.jpg	https://upload.wikimedia.org/wikipedia/commons/8/87/PlayStation_4_logo_and_wordmark.svg	0
PlayStation Portable|PSP	Sony	2004	1	7	https://en.wikipedia.org/wiki/PlayStation_Portable	https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Psp-1000.jpg/800px-Psp-1000.jpg	https://upload.wikimedia.org/wikipedia/commons/0/0e/PSP_Logo.svg	0
PlayStation Vita	Sony	2011	1	8	https://en.wikipedia.org/wiki/PlayStation_Vita	https://commons.wikimedia.org/wiki/File:PlayStation-Vita-1101-FL.jpg	https://upload.wikimedia.org/wikipedia/commons/d/df/PlayStation_Vita_logo_SVG.svg	0
Pocketstation	Sony	1999	1	5	https://en.wikipedia.org/wiki/PocketStation	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Sony-PocketStation.jpg/405px-Sony-PocketStation.jpg	https://upload.wikimedia.org/wikipedia/commons/8/8f/PocketStation_logo.svg	0
32X|Mega Drive 32X (PAL)|Super 32X (JP)|Genesis 32X (NA)|Mega 32X (BR)	Sega	1994	0	4	https://en.wikipedia.org/wiki/32X	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Sega-Genesis-Model2-32X.jpg/754px-Sega-Genesis-Model2-32X.jpg	http://vignette1.wikia.nocookie.net/vsrecommendedgames/images/c/ce/Sega_32X_logo_USA.svg/revision/latest?cb=20150812105753	0
Mega CD|Sega CD (NA)	Sega	1992	0	4	https://en.wikipedia.org/wiki/Sega_CD	https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Sega-CD-Model2-Set.jpg/800px-Sega-CD-Model2-Set.jpg	0	http://vignette2.wikia.nocookie.net/logopedia/images/d/da/Sega_CD_logo_(USA).png
Sega Saturn	Sega	1994	0	5	https://en.wikipedia.org/wiki/Sega_Saturn	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Sega-Saturn-Console-Set-Mk1.jpg/800px-Sega-Saturn-Console-Set-Mk1.jpg	0	http://i.imgur.com/yRkFh7l.jpg
SG-1000	Sega	1983	0	3	https://en.wikipedia.org/wiki/SG-1000	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sega-SG-1000-Console-Set.jpg/800px-Sega-SG-1000-Console-Set.jpg	http://www.segaretro.org/images/3/39/SG-1000_logo.svg	0
Super NES|Super Nintendo Entertainment System|Super Famicom	Nintendo	1990	0	4	https://en.wikipedia.org/wiki/Super_Nintendo_Entertainment_System	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Nintendo-Super-Famicom-Set-FL.jpg/800px-Nintendo-Super-Famicom-Set-FL.jpg	https://upload.wikimedia.org/wikipedia/commons/2/2c/SNES_logo.svg	0
TurboExpress	NEC Home Electronics	1990	1	4	https://en.wikipedia.org/wiki/TurboExpress	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/TurboExpress-Front.jpg/374px-TurboExpress-Front.jpg	0	http://i.imgur.com/SvbdquX.jpg
TurboGrafx-16|PC Engine (JP/FR)	NEC Home Electronics|Hudson Soft	1987	0	4	https://en.wikipedia.org/wiki/TurboGrafx-16	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/TurboGrafx16-Console-Set.jpg/800px-TurboGrafx16-Console-Set.jpg	0	http://i.imgur.com/SvbdquX.jpg
Virtual Boy	Nintendo	1995	0	5	https://en.wikipedia.org/wiki/Virtual_Boy	https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Virtual-Boy-Set.jpg/472px-Virtual-Boy-Set.jpg	https://upload.wikimedia.org/wikipedia/commons/9/96/Virtualboy_logo.svg	0
Wii	Nintendo	2006	0	7	https://en.wikipedia.org/wiki/Wii	https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Wii-console.jpg/600px-Wii-console.jpg	https://upload.wikimedia.org/wikipedia/commons/b/bc/Wii.svg	0
Wii U	Nintendo	2012	0	8	https://en.wikipedia.org/wiki/Wii_U	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Wii_U_Console_and_Gamepad.png/800px-Wii_U_Console_and_Gamepad.png	https://upload.wikimedia.org/wikipedia/commons/7/7e/WiiU.svg	0
WonderSwan	Bandai	1999	1	5	https://en.wikipedia.org/wiki/WonderSwan	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/WonderSwan-Black-Left.jpg/800px-WonderSwan-Black-Left.jpg	0	http://vignette1.wikia.nocookie.net/logopedia/images/f/f1/Bandai_WonderSwan_Logo_1.png
WonderSwan Color	Bandai	2000	1	5	https://en.wikipedia.org/wiki/WonderSwan	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/WonderSwan-Color-Blue-Left.jpg/800px-WonderSwan-Color-Blue-Left.jpg	0	http://vignette2.wikia.nocookie.net/logopedia/images/a/a9/Bandai_WonderSwan_Color_Logo_1.png
Xbox	Microsoft	2001	0	6	https://en.wikipedia.org/wiki/Xbox	https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Xbox-console.jpg/800px-Xbox-console.jpg	https://upload.wikimedia.org/wikipedia/commons/8/8c/XBOX_logo_2012.svg	https://upload.wikimedia.org/wikipedia/en/2/2a/Xbox_original_logo_black.png
Xbox 360	Microsoft	2005	0	7	https://en.wikipedia.org/wiki/Xbox_360	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Xbox-360-Pro-wController.jpg/401px-Xbox-360-Pro-wController.jpg	https://upload.wikimedia.org/wikipedia/en/0/0c/Xbox_360_full_logo.svg	0
Xbox One	Microsoft	2013	0	8	https://en.wikipedia.org/wiki/Xbox_One	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Xbox_One_Console_Set.jpg/800px-Xbox_One_Console_Set.jpg	https://upload.wikimedia.org/wikipedia/en/1/11/Xbox_One_logo.svg	0
