Title(s)	Developer	Publisher	NA	PAL	JP
Three Dirty Dwarves	Appaloosa Interactive	SegaSoft	1997		
Thunder Force: Gold Pack 1	Technosoft	Technosoft			1996
Thunder Force: Gold Pack 2	Technosoft	Technosoft			1996
Thunder Force V	Technosoft	Technosoft|Satakore (re-release)			1997
Tilt! (EU)|Hyper 3-D Pinball (NA)|Hyper 3D Pinball (JP)	NMS Software	Virgin Interactive	1996	1996	1997
Time Commando					
Tokimeki Memorial Drama Series Vol. 1: Nijiiro no Seishun	Konami	Konami	Unreleased	Unreleased	1997
Tokimeki Memorial Drama Series Vol.2: Irodori no Lovesong	Konami	Konami	Unreleased	Unreleased	1998
Tokimeki Memorial Drama Series Vol.3: Tabidachi no Uta	Konami	Konami	Unreleased	Unreleased	1999
Tokimeki Memorial: Forever With You	Konami	Konami	Unreleased	Unreleased	1996
Tokimeki Memorial Selection: Fujisaki Shiori	Konami	Konami	Unreleased	Unreleased	1997
Tomb Raider	Core Design Ltd.	Eidos Interactive	1996		
True Pinball	Digital Illusions	Ocean	1996		
Tunnel B1|Finalist (JP)					
Twinkle Star Sprites					
UEFA Euro 96 England					
Uno DX					
Ultimate Mortal Kombat 3	Eurocom	Williams	1996	1996	
Ultraman: Hikari no Kyojin Densetsu					
The Unsolved					
Valora Valley Golf|(Hyper Golf: Devil's Course JP)	T&E Soft	T&E Soft	1996		
Vampire Savior: The Lord of Vampire	Capcom	Capcom			1998
Vandal Hearts: Ushinawareta Kodai Bunmei	Konami	Konami			1997
Vatlva	JVC	Ancient			1996
Virtua Cop	Sega	Sega	1995		
Virtua Cop 2	Sega	Sega	1996		
Virtua Fighter	Sega AM2	Sega	1995		
Virtua Fighter 2	Sega AM2	Sega	1996		
Virtua Fighter CG Portrait Series, Volume 01: Sarah Bryant	Sega AM2	Sega			1995
Virtua Fighter CG Portrait Series, Volume 02: Jacky Bryant	Sega AM2	Sega			1995
Virtua Fighter CG Portrait Series, Volume 03: Akira Yuki	Sega AM2	Sega			1995
Virtua Fighter CG Portrait Series, Volume 04: Pai Chan	Sega AM2	Sega			1995
Virtua Fighter CG Portrait Series, Volume 05: Wolf Hawkfield	Sega AM2	Sega			1995
Virtua Fighter CG Portrait Series, Volume 06: Lau Chan	Sega AM2	Sega			1995
Virtua Fighter CG Portrait Series, Volume 07: Shun Di	Sega AM2	Sega			1996
Virtua Fighter CG Portrait Series, Volume 08: Lion Rafale	Sega AM2	Sega			1996
Virtua Fighter CG Portrait Series, Volume 09: Kage Maru	Sega AM2	Sega			1996
Virtua Fighter CG Portrait Series, Volume 10: Jeffry McWild	Sega AM2	Sega			1996
Virtua Fighter Kids	Sega AM2	Sega	1996		
Virtua Fighter Remix	Sega AM1	Sega	1995		
Virtua Racing	Time Warner Interactive	Time Warner Interactive	1995		
Virtual Casino	Natsume	Natsume	1996		
Virtual Hydlide	T&E Soft	T&E Soft	1995		
Virtual Open Tennis					
Virtual Volleyball	Imagineer	SIMS	Unreleased	Unreleased	1995
Virus		Hudson Soft			1997
VR Golf '97	Gremlin Interactive	Interplay	1996		
VR Soccer	Gremlin Interactive	VR Sports	1996		
Wachenröder	Sega	Sega			1998
Waku Waku 7	Sunsoft	Sunsoft			1997
Waku Waku Monster					
Waku Waku Puyo Puyo Dungeon					
Wan Chai Connection					
Wangan Dead Heat + Real Arrange					
Wangan Trial Love					
Wara Wara Wars: Gekitou! Daigundan Battle					
Warcraft II: The Dark Saga	Blizzard	Electronic Arts	1997		
Welcome House					
Whizz					
Williams Arcade's Greatest Hits	Digital Eclipse	Midway	1996		
Willy Wombat					
Wing Arms	Sega	Sega	1995		
Winning Post	Koei	Koei	1996		
Winning Post 2					1996
Winning Post 3					
Winter Heat	Sega	Sega	1997		
wipEout	Psygnosis	Psygnosis	1996		
wipEout 2097	Psygnosis	Psygnosis		1997	1998
With You: Mitsumeteitai					
Wizardry VI & VII Complete					
Wizard's Harmony					
Wizard's Harmony 2					
Wizardry: Llylgamyn Saga					
Wizardry Nemesis					
Wolf Fang SS: Kuuga 2001	Tuji Jimusho	Xing Entertainment			
Wonder 3: Arcade Gears					
World Advanced Daisenryaku: Koutetsu no Senpuu (JP)|Iron Storm: World Advanced Strategy (NA)	SystemSoft	Sega (JP)|Working Designs (NA)	1996		1995
World Advanced Daisenryaku: Sakusen File	SystemSoft	Sega			1996
World Cup '98 France: Road to Win					1998
World Cup Golf: Professional Edition (NA/EU)|World Cup Golf In Hyatt Dorado Beach (JP)	Arc Developments	U.S. Gold (NA/EU)|Soft Vision International|Coconuts Japan (JP)	1996	1996	1996
World Evolution Soccer	Jack Pot	Asmik			1997
World Heroes Perfect	SNK	SNK			1996
World League Soccer 98	Silicon Dreams	Sega			1998
World Series Baseball	Sega	Sega	1995		
World Series Baseball 2	Sega	Sega	1996		
World Series Baseball '98	Sega	Sega	1997		
Worldwide Soccer: Sega International Victory Goal Edition	Sega	Sega	1995		
Worms	Team17	Ocean Software	1997	1997	1997
WWF In Your House	Sculptured Software	Acclaim	1996	1996	1997
WWF WrestleMania: The Arcade Game	Sculptured Software	Acclaim	1996	1996	1996
X Japan Virtual Shock 001	Sega	Sega			1995
X-Men vs. Street Fighter	Capcom	Capcom			1997
X-Men: Children of the Atom	Capcom	Acclaim US/EU|Capcom (JP)	1996	1996	1995
Yakyuu Ken Special, The: Konya Wa 12-Kai Ikusa	Societa Daikanyama	Societa Daikanyama			1995
Yellow Brick Road	Synergy, Inc.	Acclaim Entertainment			1996
Yoshimoto Mahjong Club	Psikyo	Psikyo			1998
Yoshimura Shougi	Konami	Konami			1998
Yoshiyuki Sadamoto Illustrations	Gainax	Gainax			1997
Yumimi Mix Remix	Game Arts	Game Arts			1995
Yu-No: Kono Yo no Hate de Koi wo Utau Shoujo|Yu-No: The Girl that Chants Love at the Edge of the World	ELF	ELF			1997
Yuukyuu Gensoukyoku	Starlight Marry|ISCO	MediaWorks, Inc.			1997
Yuukyuu Gensoukyoku 2nd Album	Starlight Marry|ISCO	MediaWorks, Inc.			1998
Yuukyuu Gensoukyoku Ensemble	Starlight Marry	MediaWorks, Inc.	Unreleased	Unreleased	1998
Yuukyuu Gensoukyoku Ensemble 2	Starlight Marry	MediaWorks, Inc.	Unreleased	Unreleased	1999
Yuukyuu Gensoukyoku Hozonban: Perpetual Collection	Starlight Marry	MediaWorks, Inc.	Unreleased	Unreleased	2000
Yuukyuu no Kobako: Official Collection	Starlight Marry	MediaWorks, Inc.	Unreleased	Unreleased	1997
Yuushun Classic Road	Progress	Victor Entertainment	Unreleased	Unreleased	1997
Z	Bitmap Brothers, The	GT Interactive	Unreleased	1998	Unreleased
Zanma Chouougi Valhollian	Datt Japan	Kamata and Partners	Unreleased	Unreleased	1998
Zap! Snowboarding Trix	Atelier Double	Pony Canyon	Unreleased	Unreleased	1997
Zap! Snowboarding Trix '98	Atelier Double	Pony Canyon	Unreleased	Unreleased	1997
Zenkoku Seifuku Bishoujo Grand Prix Find Love	TamTam|Lyceen	Daiki	Unreleased	Unreleased	1997
Zen Nihon Pro Wres Featuring Virtua	Scarab	Sega	Unreleased	Unreleased	1997
Zero Divide: The Final Conflict	ZOOM Inc.	ZOOM Inc.	Unreleased	Unreleased	1997
Zero4 Champ DooZy-J Type-R	Media Rings	Media Rings	Unreleased	Unreleased	1997
Zoku Gussun Oyoyo	Irem	Banpresto	Unreleased	Unreleased	1997
Zoku Hatsukoi Monogatari: Shuugakuryokou	Koga Game Factory	Tokua Shoten	Unreleased	Unreleased	1998
Zoop	Hookstone	Media Quest	Unreleased	Unreleased	1996
Zork Collection	Activision	Shoeisha	Unreleased	Unreleased	1998
Zork I: The Great Underground Empire	Activision	Shoeisha	Unreleased	Unreleased	1996
