Title(s)	Developer	Publisher	NA	PAL	JP
Blast Wind	Technosoft	Technosoft	Unreleased	Unreleased	1997
Blazing Dragons	Crystal Dynamics	Crystal Dynamics	1996	1996	Unreleased
Blazing Heroes	Sega	Sega	1996	1996	1995
Blue Breaker: Ken yorimo Hohoemi wo	HuneX|NEC Home Electronics	Human Entertainment	Unreleased	Unreleased	1997
Bottom of the 9th	Konami	Konami	1996	Unreleased	Unreleased
Bouken Katsugeki Monomono	Shoeisha Co. Ltd.		Unreleased	Unreleased	1997
Brain Dead 13	ReadySoft	ReadySoft	1996	Unreleased	1996
Break Point Tennis	Acclaim	Acclaim	1996	1997	1997
BreakThru!	Shoeisha	Shoeisha	Unreleased	Unreleased	1995
Bubble Bobble featuring Rainbow Islands	Taito Corporation	Acclaim	1996	1996	Unreleased
Bubble Symphony	Taito	Taito & Ving			1995
Bug!	Realtime Associates	Sega	1995	1995	1995
Bug Too!	Realtime Associates	Sega	1996	1997	1997
Bulk Slash	CAProduction	Hudson Soft	Unreleased	Unreleased	1997
Burning Rangers	Sonic Team	Sega	1998	1998	1998
Bust-a-Move 2: Arcade Edition	Taito Corporation	Acclaim	1996	1996	1996
Bust-a-Move 3	Taito Corporation	Natsume	1997	1997	1997
Capcom Generation 1	Capcom	Capcom			1998
Capcom Generation 2	Capcom	Capcom			1998
Capcom Generation 3	Capcom	Capcom			1998
Capcom Generation 4	Capcom	Capcom			1998
Capcom Generation 5|Street Fighter Collection NA/EU	Mitchell Corporation	Capcom			1998
Casper	Funcom	Interplay	1996	1996	1997
Center Ring Boxing	Victor Interactive Software	JVC Digital Studios	1995		
Chaos Control	Infogrames	Virgin Interactive & Infogrames		1996	1995
Chaos Seed	Neverland	Taito			1998
Cho Aniki: Kyuukyoku Muteki Ginga Saikyou Otoko	Masaya	Nippon Computer Systems			1996
Christmas Nights	Sonic Team	Sega	1996	1997	1996
Clockwork Knight	AM7	Sega	1995	1995	1994
Clockwork Knight 2	Sega	Sega	1996	1995	1995
ClockWerx	Tokuma Shoten	Tokuma Shoten			1996
College Slam	Acclaim	Iguana Entertainment	1996		
Command & Conquer	Westwood Studios	Westwood Studios	1996		
Congo The Movie: The Lost City of Zinj	Jumpin' Jack Software	Jumpin' Jack Software	1996		
Contra: Legacy of War	Appaloosa Interactive	Konami	1997		
Corpse Killer: Graveyard Edition	Digital Pictures	Digital Pictures	1995		
Cotton 2	Success	Success			1997
Cotton Boomerang	Success	Success			1998
Courier Crisis	New Level Software	GT Interactive	1997		
Creature Shock: Special Edition	Interactive Studios	Data East	1996		
Crime Wave	Eidos Interactive	Eidos Interactive	1997		
Criticom	Kronos Digital Entertainment	Vic Tokai	1997		
Croc: Legend of the Gobbos	Argonaut Games	Fox Interactive	1997		
The Crow: City of Angels (video game)	Gray Matter	Acclaim	1997		
Crusader: No Remorse	Realtime Associates	Electronic Arts	1996		
Crypt Killer	Konami	KCET	1997		
Culdcept	OmiyaSoft	NEC Interchannel			1997
Cyber Speedway	NexTech	Sega	1995		
Cyber Troopers Virtual-On: Operation Moongate	Sega AM3	Sega	1996		
Cyberbots: Full Metal Madness	Capcom	Capcom			1997
Cyberia	Xatrix	Interplay	1995		
D	WARP	Acclaim	1996		
D-Xhird	Takara	Takara			1997
Daisenryaku Strong Style	SystemSoft	Dual|OZ Club			1997
Darius II	I.T.L Inc.	Taito (JP)|Sega (EU)		1996	1996
Darius Gaiden	Alsystem Tokyo	Acclaim	1996		
Dark Legend	Data East	Data East	1995		
Dark Savior	Climax Entertainment	Sega	1996		
Dark Seed	Cyberdreams	Gaga Communications			1995
Dark Seed II	Cyberdreams	Bandai Visual & B-Factory			1997
Darklight Conflict	Rage Software	Electronic Arts	1997		
Daytona USA	Sega AM2	Sega	1995		
Daytona USA: Championship Circuit Edition|Daytona USA: Circuit Edition JP	Sega AM2	Sega	1996		1997
Daytona USA CCE NetLink Edition	Sega AM-2	Sega	1998		
DeathMask	Vantan International Tennou Koujou|Electric Dreams	Vantan International Tennou Koujou			1996
Dead or Alive	Team Ninja	Tecmo			1997
DecAthlete|Athlete Kings EU	Sega	Sega	1996		
Defcon 5	Millennium Interactive	Data East USA	1996		
Deep Fear	ISCO	Sega			1998
Derby Stallion	ASCII Entertainment	ASCII Entertainment			1999
Desire	C's ware	Imadio			1997
Destruction Derby	Reflections	Psygnosis	1996		1996
Detana TwinBee Yahoo! Deluxe Pack	Konami	Konami			1995
