Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
Agent Armstrong|Agent Armstrong: Himitsu Shirei Daisakusen JP	King of the Jungle	Virgin Interactive PAL|W.I.Z JP	1997-12-04	1997-09-18	Unreleased	
Agile Warrior F-111X|Agile Warrior JP	Black Ops Entertainment	Virgin Interactive	1996-01-13	1996-03-01	1995-11-21	
Air Combat|Ace Combat JP	Namco|Arsys Software	Namco|SCEE PAL	1995-06-30	1995-10-01	1995-09-13	
Air Hockey|Hooockey!! JP	Mud Duck Productions	Success JP|Midas Interactive Entertainment PAL|Mud Duck Productions NA	2000-05-25	2001-01-01	2003-09-01	
Ainori	Tecmo	Tecmo	Unreleased	Unreleased	Unreleased	
Aironauts	Red Lemon Studios	Red Storm Entertainment	Unreleased	1999-08-01	Unreleased	
Akuji the Heartless	Crystal Dynamics	Eidos Interactive	Unreleased	1999-02-01	1998-12-31	
Alex Ferguson's Player Manager 2001 PAL|Guy Roux Manager 2001 FR|DSF Fussball Manager 2001 DE	Anco Software	The 3DO Company NA|Ubisoft DE,FR	Unreleased	2000-11-24	Unreleased	
Alex Ferguson's Player Manager 2002 PAL|DSS Fussball Manager 2002 DE	Anco Software	Ubisoft	Unreleased	2002-05-14	Unreleased	
Alexi Lalas International Soccer|Bomba:98 PAL|Golden Goal 98 PAL|Mundial:98 PAL|Three Lions PAL	Z-Axis	BMG Interactive PAL|Take-Two Interactive PAL,NA	Unreleased	1998-04-01	1999-04-30	
Alfred Chicken	Mobius Entertainment	SCEE	Unreleased	2002-01-01	Unreleased	
Alien: Resurrection	Argonaut Games	Fox Interactive	Unreleased	2000-12-01	2000-10-10	
Alien Trilogy	Probe Entertainment	Acclaim Entertainment	1996-05-31	1996-03-01	1996-02-01	
ALIVE	General Entertainment Co. Ltd.	General Entertainment Co. Ltd.	1998-08-06	Unreleased	Unreleased	
All Japan Woman Pro Wrestling	TEN	GW	1998-07-23	Unreleased	Unreleased	
All-Star 1997 featuring Frank Thomas	Acclaim Entertainment	Acclaim Entertainment	Unreleased	1997-06-30	1997-06-30	
All Star Boxing	Midas Interactive	Midas Interactive	Unreleased	2003-04-25	Unreleased	
All-Star Racing	Mud Duck Productions	Mud Duck Productions	Unreleased	2002-10-06	2002-10-06	
All-Star Racing 2	Mud Duck Productions	Mud Duck Productions	Unreleased	Unreleased	2003-04-24	
All-Star Slammin' D-ball	Access	D3 JP|Agetec NA|Midas Interactive Entertainment PAL	2001-10-25	2003-05-02	2001-10-01	
All Star Tennis '99|Yannick Noah All Star Tennis '99 FR	Smart Dog	Ubisoft	1999-08-31	1998-11-20	Unreleased	
All Star Tennis 2000	Aqua Pacific Ltd.	Ubisoft	Unreleased	2000-08-18	Unreleased	
All Star Watersports	Phoenix Games	Phoenix Games	Unreleased	2003-03-14	Unreleased	
Allied General	SSI	SSI	Unreleased	1997-06-01	1996-09-30	
Alone in the Dark: One-Eyed Jack's Revenge NA|Alone in the Dark: Jack is Back PAL	Infogrames	Interplay	1996-11-08	1996-05-03	1996-08-22	
Alone in the Dark: The New Nightmare	Infogrames	Darkworks SA	Unreleased	2001-05-18	2001-06-18	
Alundra|The Adventures of Alundra PAL	Matrix Software	SCEI JP|Working Designs NA|Psygnosis PAL	1997-04-11	1998-06-05	1997-12-31	
Alundra 2: A New Legend Begins	Matrix Software	SCEI JP|Activision	1999-11-18	2000-06-01	2000-02-29	
The Amazing Virtual Sea-Monkeys	Creature Labs	Kemco	Unreleased	2002-06-19	2002-01-01	
American Deer Hunter	Interplay	Interplay	Unreleased	Unreleased	2000-01-01	
American Pool	Midas Interactive	Midas Interactive	Unreleased	2003-06-13	2003-05-06	
Amerzone	Microids	Casterman	Unreleased	1999-12-13	Unreleased	
Anastasia	Midas Interactive	Midas Interactive	Unreleased	2001-04-12	Unreleased	
Andretti Racing	Electronic Arts	Electronic Arts	Unreleased	1996-10-01	1996-11-30	
Angel Blade: Neo Tokyo Guardians	Nippon	Ichi Soft	1997-07-03	Unreleased	Unreleased	
Tōkidenshō Angel Eyes	Tecmo	Tecmo	1997-12-11	Unreleased	Unreleased	
Angel Graffiti: Anathe no Profile	Coconuts Japan	Coconuts Japan	1996-07-26	Unreleased	Unreleased	
Animal Football	The Code Monkeys	Phoenix Games	Unreleased	2003-07-26	Unreleased	
Animal Snap	Ignition	Ignition	Unreleased	2003-09-19	Unreleased	
Animaniacs: Ten Pin Alley	Saffire	ASC Games	Unreleased	Unreleased	1998-12-01	
Anime Chick Story 1: Card Captor Sakura	Arika	Arika	1999-08-05	Unreleased	Unreleased	
Animorphs: Shattered Reality	SingleTrac	Infogrames	Unreleased	Unreleased	2000-09-06	
Ape Escape|Saru! Get You! JP	Sony Computer Entertainment Inc.	Sony Computer Entertainment Inc.	1999-06-25	1999-07-02	1999-05-31	
Apocalypse	Neversoft	Activision PAL,NA|Success JP	1999-09-22	1998-11-01	1998-10-31	
Aqua GT	East Point Software	Take 2 Interactive	Unreleased	2001-01-26	Unreleased	
Aquanaut's Holiday	Artdink	Artdink JP|SCEA NA|SCEE PAL	1995-06-30	1995-10-01	1996-07-07	
Aquanaut's Holiday: Memories of Summer 1996	Artdink	Artdink	1996-07-19	Unreleased	Unreleased	
Arc the Lad	SCEI	SCEI/ Working Designs	1995-06-30	Unreleased	Unreleased	
Arc the Lad II	ARC Entertainment	SCEI	1996-11-01	Unreleased	Unreleased	
Arc the Lad III	ARC Entertainment	SCEI	1999-10-28	Unreleased	Unreleased	
Arc the Lad Collection	SCEI	Working Designs	Unreleased	Unreleased	2002-04-18	
Arc the Lad: Monster Game with Casino Game	ARC Entertainment	SCEI	1997-07-31	Unreleased	Unreleased	
