Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
Deep Freeze		Sammy	1999-01-14	Unreleased	Unreleased	
DefCon 5	Millennium Interactive	Psygnosis	Unreleased	1996-02-01	1995-11-23	
Delta Force: Urban Warfare	Rebellion Developments	Novalogic	Unreleased	2002-08-09	2002-07-02	
Delta Force: Urban Warrior	Rebellion	NovaLogic	Unreleased	2002-08-09	2002-07-02	
Demolition Racer	Pitbull Syndicate	Infogrames	Unreleased	1999-11-01	1999-08-31	
Denki Groove Jigoku V	Opus	Sony Music Entertainment Incorporated	1998-01-08	Unreleased	Unreleased	
Densha de Go!	Taito	Taito	1997-12-18	Unreleased	Unreleased	
Densha de Go! 2	Taito	Taito	1999-03-18	Unreleased	Unreleased	
Depth|Fluid PAL	Opus	SCEE	1996-12-06	1998-08-01	Unreleased	
Descent 1 ! Descent	Parallax Software	Interplay	1996-01-26	1996-05-01	1996-03-12	
Descent II|Descent Maximum	Parallax Software	Interplay	Unreleased	1997-05-01	1997-04-30	
Destrega	KOEI	SCEE	1998-09-23	1999-10-08	1999-01-31	
Destruction Derby	Reflections Interactive	Psygnosis	1996-02-09	1995-10-01	1995-11-16	
Destruction Derby 2	Reflections Interactive	Psygnosis	1997-02-21	1997-01-13	1996-10-31	
Destruction Derby Raw	Studio 33|Midway	SCEE	Unreleased	2000-06-30	2000-09-26	
Destructo 2|The Puzzle 2 JP	Axes Art Amuse	Phoenix Games PAL|D3Publisher JP	2000-12-07	2003-01-01	Unreleased	
Detana TwinBee Yahho! Deluxe Pack	KCET	Konami	1995-09-29	Unreleased	Unreleased	
Detective Barbie: Mystery Cruise	Runecraft	Mattel	Unreleased	Unreleased	2000-01-01	
Detective Mouse	The Code Monkeys	Phoenix Games	Unreleased	2003-01-01	Unreleased	
DeviceReign	Starlight Marry	Media Works	1999-02-25	Unreleased	Unreleased	
Devil Dice	Shift	SCEE	1998-06-18	1998-06-29	1998-06-30	
Devilman	Bandai	Bandai	2000-04-13	Unreleased	Unreleased	
Dexter's Laboratory: Mandark's Lab?	Red Lemon Studios	BAM! Entertainment	Unreleased	2002-04-12	2002-03-01	
Diablo	Climax Group	Activision	Unreleased	1998-04-01	1998-01-01	
Die Hard Trilogy	Probe Entertainment	Fox Interactive|EA Games	Unreleased	1996-01-01	1996-08-31	
Die Hard Trilogy 2: Viva Las Vegas	n-Space	Fox Interactive	Unreleased	Unreleased	2000-02-29	
Digimon Digital Card Battle	BEC	Bandai|Infogrames	2000-12-21	2002-07-19	2001-06-28	
Digimon Park	Chime	Bandai	2001-07-26	Unreleased	Unreleased	
Digimon Rumble Arena	Bandai	Infogrames	2001-12-06	2002-07-12	2001-02-24	
Digimon World	Bandai	Infogrames	1999-01-28	2001-07-06	2000-05-23	
Digimon World 2	Bandai	Bandai	2000-07-27	Unreleased	2001-05-19	
Digimon World 3|Digimon World 2003 EU	Bandai	Bandai	2002-07-04	2002-11-29	2002-06-05	
Digital Glider Airman	Ornith	ASK	1999-09-14	Unreleased	Unreleased	
Dino Crisis	Capcom	Virgin Interactive	Unreleased	1999-10-01	1999-08-31	
Dino Crisis 2	Capcom	Virgin Interactive	Unreleased	2002-03-15	2000-09-29	
Dinomaster Party	Similis	LSP	Unreleased	2000-01-01	Unreleased	
Dioramos		Ponos	2000-11-30	Unreleased	Unreleased	
Dirt Jockey	DDL, Inc.	Mastiff	Unreleased	Unreleased	2003-07-13	
Discworld	Perfect Entertainment	Psygnosis	Unreleased	1995-10-01	1995-01-01	
Discworld II	Perfect Entertainment	Psygnosis	Unreleased	1997-11-01	1997-09-24	
Discworld Noir	Perfect Entertainment	GT Interactive	Unreleased	2000-01-01	Unreleased	
Disney's Aladdin in Nasira's Revenge	Argonaut Games	SCEA	Unreleased	2000-12-01	2001-03-15	
Disney's Dinosaur	Disney Interactive Studios	Ubisoft	Unreleased	2000-10-06	2000-08-29	
Disney's Donald Duck: Goin' Quackers|Donald Duck: Quack Attack PAL	Ubisoft Shanghai	Ubisoft	Unreleased	Unreleased	2000-11-14	
Disney's Hercules	Eurocom	Disney Interactive Software	Unreleased	1997-11-01	1997-06-20	
Disney's Lilo & Stitch	Ubisoft	Ubisoft	Unreleased	Unreleased	2002-06-14	
Disney's Peter Pan in Return to Neverland	Doki Denki	SCEA	Unreleased	Unreleased	2002-02-14	
Disney's Magical Tetris Challenge	Capcom	Capcom JP|SCEE PAL	1999-03-18	1999-01-01	Unreleased	
Disney's Pooh's Party Game: In Search of the Treasure	Doki Denki	Electronic Arts	Unreleased	Unreleased	2001-01-01	
Disney's Story Studio - Mulan	Kids Revolution	NewKidCo	Unreleased	2000-01-01	1999-12-15	
Disney's The Little Mermaid II	Blitz Games	THQ	Unreleased	Unreleased	2001-01-01	
Disney's Tarzan	Eurocom	SCEE PAL|Konami JP|SCEA NA	Unreleased	Unreleased	1999-06-30	
Disruptor	Insomniac Games	Interplay (PAL JP Versions), Universal Interactive (USA Version)	1997-04-11	1996-12-01	1996-11-30	
Diver's Dream/Dolphin's Dream	Konami	Konami	Unreleased	2001-03-09	Unreleased	
The Divide: Enemies Within	Radical Entertainment	Viacom New Media	Unreleased	Unreleased	1996-01-01	
DoDonPachi	Cave	SPS	1998-09-10	Unreleased	Unreleased	
DonPachi	Cave	SPS	1996-10-18	Unreleased	Unreleased	
Doki Oki	Banpresto	Banpresto	1995-12-22	Unreleased	Unreleased	
Doko Demo Issyo: Let's School	Sony	Sony	1999-01-01	Unreleased	Unreleased	
Doko Demo Isshyo Tsuika Disk: Koneko Mo Isshyo	Sony	Sony	2000-01-27	Unreleased	Unreleased	
Doom	Id Software|Infogrames		Unreleased	1995-12-01	1995-11-16	
Dora the Explorer: Barnyard Buddies	Imaginengine	Global Star and Nick Jr.	Unreleased	Unreleased	2003-01-01	
Double Dragon	Technos Japan	Urban Plant	1996-04-26	Unreleased	Unreleased	
Dōkyūsei 2		ELF Corporation	1997-08-07	Unreleased	Unreleased	
Doumu no Yabou: F1 GP Nippon		OZ Club	1996-10-25	Unreleased	Unreleased	
Doumu no Yabou 2: The Race of Champions		OZ Club	1998-11-19	Unreleased	Unreleased	
Dracula 2: The Last Sanctuary	Index+	Cryo Interactive	Unreleased	2001-07-06	2002-05-06	
Dracula: Resurrection	Canal+ Multimedia|France Telecom Multimedia|Index+	Microids	Unreleased	2000-02-06	2001-06-01	
Dragon Ball GT: Final Bout	Bandai	Atari	1997-08-25	1997-11-06	1997-07-29	
Dragon Ball Z: Idainaru Dragon Ball Densetsu	Bandai	Bandai	1996-05-31	Unreleased	Unreleased	
Dragon Ball Z: Ultimate Battle 22	Bandai	Atari	Unreleased	Unreleased	2004-03-23	
Dragon Beat: Legend of Pinball		Map Japan	1997-11-27	Unreleased	Unreleased	
Dragonheart: Fire & Steel	Funcom	Acclaim	Unreleased	1997-03-01	1996-11-30	
Dragon Knight 4	Banpresto	Banpresto	1997-02-27	Unreleased	Unreleased	
Dragon Knights Glorious		Pandora Box	1999-11-18	Unreleased	Unreleased	
Dragon Quest IV	ArtePiazza|Heartbeat	Enix	2001-11-22	Unreleased	Unreleased	
Dragon Quest VII	Heart Beat	JP  Enix Corporation|NA  Enix Corporation	2000-08-26	Unreleased	2001-10-31	
Dragonseeds	Jaleco Entertainment	Jaleco Entertainment	1998-08-06	Unreleased	1998-09-30	
Dragstars|Burn Out JP	Midas Interactive	Midas Interactive PAL|Success	2000-08-24	2002-04-13	Unreleased	
Dragon Tales: Dragon Seek	Zed Two Limited	NewKidCo	Unreleased	Unreleased	2000-11-29	
Dragon Valor	Namco	SCEE	Unreleased	2000-06-30	2000-10-16	
Dream Generation		NCS	1998-08-13	Unreleased	Unreleased	
Dreams to Reality	Cryo Interactive	Cryo Interactive	Unreleased	1998-11-15	Unreleased	
Driver|Driver: You Are the Wheelman NA	Reflections Interactive	GT Interactive	Unreleased	1999-06-25	1999-06-30	
Driver 2	Reflections Interactive	Infogrames	Unreleased	2000-11-17	2000-11-13	
Ducati World Racing Challenge	Attention To Detail	Acclaim	Unreleased	2001-02-09	2001-01-02	
Druid: Yami e no Tsuisekisha	Synthetic Dimensions	Koei	1998-02-19	Unreleased	Unreleased	
Duke Nukem PAL|Duke Nukem: Total Meltdown NA	3D Realms|Aardvark Software	GT Interactive	Unreleased	1998-12-01	1997-09-30	
Duke Nukem: Land of the Babes	n-Space	GT Interactive NA|Take-Two Interactive PAL	Unreleased	2001-04-06	2000-09-19	
Duke Nukem: Time to Kill	n-Space	GT Interactive NA|Take-Two Interactive PAL	Unreleased	1999-02-15	1998-09-30	
The Dukes of Hazzard: Racing for Home	Sinister Games	Southpeak Interactive|Ubisoft	Unreleased	2000-01-01	1999-11-30	
The Dukes of Hazzard II: Daisy Dukes It Out	Sinister Games	Southpeak Interactive|Ubisoft	Unreleased	2001-03-23	2000-11-06	
Dune 2000|Dune PAL	Intelligent Games|Westwood Studios	Electronic Arts	Unreleased	2000-02-01	1999-10-31	
Dungeon Creator		Electronic Arts Victor	1996-05-31	Unreleased	Unreleased	
Dynasty Warriors	Omega Force	Koei	1997-02-28	1997-12-01	1997-06-30	
Eagle One: Harrier Attack	Glass Ghost	Infogrames	Unreleased	2000-01-01	2000-03-31	
Earthworm Jim 2	Screaming Pink	Virgin Interactive	Unreleased	1996-11-01	Unreleased	
Easter Bunny's Big Day	Mastiff	Mastiff	Unreleased	Unreleased	2003-04-01	
Echo Night	FromSoftware	Agetec	1998-08-13	Unreleased	1999-07-31	
Echo Night#2 Nemuri no Shihaisha	From Liquid Mirror Software	FromSoftware	1998-08-13	Unreleased	1999-07-31	
ECW Anarchy Rulz	Acclaim	Acclaim	Unreleased	2000-01-01	2000-08-18	
ECW Hardcore Revolution	Acclaim	Acclaim	Unreleased	2000-01-01	2000-01-31	
Eggs of Steel: Charlie's Eggcellent Adventure	Rhythm & Hues	Atlus	Unreleased	Unreleased	1998-10-31	
Egypt 1156 B.C.: Tomb of the Pharaoh	Cryo Interactive	Canal+Multimedia|Cryo Interactive, Réunion des Musées Nationaux	Unreleased	1999-09-10	Unreleased	
Egypt 2	Cryo Interactive|Réunion des Musées Nationaux	Cryo Interactive	Unreleased	2001-09-14	Unreleased	
Ehrgeiz: God Bless the Ring	Square Co.	SCEE	1998-12-17	2000-02-08	1999-04-30	
Einhänder	Square	Square, SCA	1997-11-20	Unreleased	1998-05-05	
Eithéa	TamTam	Atlus	2001-02-22	Unreleased	Unreleased	
Elan	Visco	Visco	1999-04-01	Unreleased	Unreleased	
Elemental Gearbolt	Alfa System	Working Designs|SCEI	1997-12-11	Unreleased	1998-06-30	
Elemental Pinball	DigiCube	Midas Interactive PAL|DigiCube JP	2002-02-21	2003-06-13	Unreleased	
Eliminator	Magenta Software	Psygnosis	Unreleased	1999-02-01	1999-02-28	
Emperor Majhong		Empire Interactive	Unreleased	Unreleased	Unreleased	
The Emperor's New Groove	Argonaut Games	SCEA	Unreleased	2001-02-16	2000-11-13	
Enigma		Koei	1998-04-02	Unreleased	Unreleased	
EOS: Edge of Skyhigh		Micronet	1997-07-03	Unreleased	Unreleased	
Epidemic	Genki	JP  Sony Music Entertainment|NA  SCEA|PAL  SCEE	1995-12-29	1997-03-01	1996-10-31	
Equestrian Showcase NA|Equestriad 2001 PAL	Tantalus Int.	Mud Duck Productions NA|Midas Interactive PAL	Unreleased	2003-02-07	2003-05-09	
ESPN Great Outdoor Games: Bass Fishing			Unreleased	Unreleased	Unreleased	
ESPN MLS GameNight	Saffire Corporation|Konami Computer Entertainment Tokyo	Konami	Unreleased	Unreleased	2000-09-19	
ESPN X-Games Pro Boarder	Electronic Arts	Radical Entertainment	1999-03-11	1998-01-01	1998-10-31	
E.T. the Extra-Terrestrial: Interplanetary Mission	NewKidCo	Ubisoft	Unreleased	2002-04-05	2002-12-30	
Eternal Eyes	TamTam	Sunsoft	1999-12-02	2000-01-01	2000-10-31	
Euro 2000	Electronic Arts	Electronic Arts	Unreleased	2000-04-28	Unreleased	
Europe Racer	Davilex	Infogrames	Unreleased	2001-09-14	Unreleased	
European Super League	Coyote Developments Ltd	Virgin Interactive Entertainment	Unreleased	2001-03-02	Unreleased	
Everybody's Golf	Camelot Software	SCEE	1997-07-17	1998-06-01	1998-04-30	
Everybody's Golf 2	Clapping Hands	SCEE	1999-07-29	2000-01-01	2000-02-29	
Every Child Can Succeed 1	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Every Child Can Succeed 2	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Every Child Can Succeed 3	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Every Child Can Succeed 4	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Every Child Can Succeed 5	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Every Child Can Succeed 6	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Every Child Can Succeed 7	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Evil Dead: Hail to the King	Heavy Iron Studios	THQ	Unreleased	2001-06-22	2000-12-04	
Evil Zone|Eretzvaju JP	Yuke's	Titus Interactive	1999-01-14	1999-01-01	1999-05-31	
Evo's Space Adventures	Runecraft	Take 2 Interactive	Unreleased	2000-06-01	Unreleased	
Excalibur 2555 A.D.	Telstar Electronic Studios Ltd	Telstar Electronic Studios Ltd	Unreleased	1997-03-01	1997-09-30	
Executor		Arc System Works	1995-09-22	Unreleased	Unreleased	
Expendable	Rage Software	Infogrames	Unreleased	Unreleased	2000-04-22	
Explosive Racing|X.Racing JP	Toka	Funsoft PAL Nichibutsu JP	1997-01-01	1997-12-01	Unreleased	
Extra Bright	To One	ASCII Entertainment	1996-12-06	Unreleased	Unreleased	
Extreme 500	Ascaron	THQ	Unreleased	2000-03-01	1998-01-01	
Extreme Ghostbusters: Ultimate Invasion	Similis	LSP	Unreleased	2004-03-01	Unreleased	
Extreme Go-Kart Racing	Now Production	Agetec	2003-02-20	Unreleased	2003-09-22	
Extreme Pinball	Epic Games	Electronic Arts	Unreleased	1996-04-01	1996-03-28	
F1 2000	Visual Sciences	Electronic Arts	2000-01-06	2000-06-10	2000-02-29	
F1 Championship Season 2000	Visual Sciences	Electronic Arts	Unreleased	2000-11-24	2000-09-30	
F1 Racing Championship	Ubisoft	Video System	Unreleased	2000-04-30	2000-10-11	
F1 World Grand Prix	Lankhor|Video System	Eidos Interactive	Unreleased	2001-01-01	2001-03-30	
F1 World Grand Prix 2000	Eutechnyx	Eidos Interactive	Unreleased	2001-03-23	Unreleased	
FA Manager	Krisalis Software	Eidos Interactive	Unreleased	2000-09-08	Unreleased	
The FA Premier League Football Manager 2000	Krisalis Software	Electronic Arts	Unreleased	1999-10-01	Unreleased	
The FA Premier League Football Manager 2001	Electronic Arts	Electronic Arts	Unreleased	2000-09-01	Unreleased	
FA Premier League Stars	Electronic Arts|Software Creations (PAL)	Electronic Arts	Unreleased	1999-01-01	Unreleased	
FA Premier League Stars 2001	Electronic Arts	Electronic Arts	Unreleased	2000-01-01	Unreleased	
Fade to Black	Delphine Software	Electronic Arts	1997-05-02	1996-07-01	1996-06-28	
Faire Games: Language Arts	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Faire Games: Mathematics	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Family Connection Demonstration	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1990-01-01	
Family Card Game Fun Pack	Mud Duck Productions	Mud Duck Productions	Unreleased	Unreleased	2002-09-26	
Family Feud	Artech Studios	Hasbro Interactive	Unreleased	Unreleased	2000-10-16	
Family Game Pack	The 3DO Company	The 3DO Company	Unreleased	Unreleased	2000-03-14	
Fantastic Four	Acclaim	Acclaim	1998-02-19	1997-08-01	1997-09-30	
Farland Saga: Toki no Michishirube	TGL	TGL	1999-04-28	Unreleased	Unreleased	
Farland Story: Yottsu no Fuuin	TGL	TGL	1997-11-27	Unreleased	Unreleased	
Fatal Fury: Wild Ambition	SNK	SNK	1999-06-24	Unreleased	1999-11-30	
Fear Effect	Kronos Digital Entertainment	Eidos Interactive	Unreleased	1999-01-01	2000-01-31	
Fear Effect 2: Retro Helix	Kronos Digital Entertainment	Eidos Interactive	2001-11-15	2001-03-23	2001-02-21	
FEDA 2: White Surge the Platoon	Max Entertainment	Yanoman	1997-04-18	Unreleased	Unreleased	
Felony 11-79	Climax Entertainment	ASCII Entertainment	1997-05-23	1997-12-01	1997-08-31	
FIFA 96	EA Canada	Electronic Arts	Unreleased	1995-12-01	1995-11-22	
FIFA 97	EA Canada	Electronic Arts	Unreleased	1996-01-01	1996-11-30	
FIFA: Road to World Cup 98	EA Canada	Electronic Arts	Unreleased	1997-11-01	1997-12-01	
FIFA 99	EA Canada	Electronic Arts	1999-08-26	1998-12-08	1998-11-30	
FIFA 2000	EA Canada	Electronic Arts	Unreleased	1999-11-01	1999-10-09	
FIFA 2001	EA Canada	Electronic Arts	Unreleased	2000-11-03	2000-11-14	
FIFA 2002	EA Canada	Electronic Arts	Unreleased	2001-11-02	2001-11-01	
FIFA Football 2003	EA Canada	Electronic Arts	Unreleased	2002-11-01	2002-11-11	
FIFA Football 2004	EA Canada	Electronic Arts	Unreleased	2003-10-24	2003-11-04	
FIFA 2005	EA Canada	Electronic Arts	Unreleased	2004-10-15	2004-10-12	
The Fifth Element	Kalisto Entertainment	SCEE	Unreleased	1998-10-01	1998-09-30	
Fighter Maker|3D Kakutou Tsukuru JP	ASCII Entertainment	Agetec Inc.|ASCII Entertainment JP	1998-07-30	1999-01-01	1999-05-31	
Fighter's Impact	Taito Corporation	Taito Corporation	1997-04-25	Unreleased	Unreleased	
Fighting Force	Core Design	Eidos Interactive	1998-01-15	1997-11-01	1997-10-31	
Fighting Force 2	Core Design	Eidos Interactive	Unreleased	1999-12-01	1999-11-30	
Final Doom	Williams Entertainment	GT Interactive	Unreleased	1997-10-02	1996-10-01	
Final Fantasy Anthology	Square Co., Ltd.	Square Co., Ltd. (USA Release), SCEE (European Release)	Unreleased	2002-05-01	1999-09-30	
Final Fantasy Origins	Square Co., Ltd.	Square Co., Ltd.	1990-01-01	2003-03-14	2003-04-08	
Final Fantasy VI	Tose	SCEE	1999-03-11	2002-03-01	1999-09-30	
Final Fantasy VII	Square Co., Ltd.	SCEE PAL|Square Co., Ltd. JP|SCEA NA	1997-01-31	1997-11-14	1997-09-07	
Final Fantasy VIII	Square Co., Ltd.	SCEE PAL|Square Co., Ltd. JP|Square Electronic Arts US	1999-02-11	1999-10-27	1999-09-09	
Final Fantasy IX	Square Co., Ltd.	SCEE PAL|Square Co., Ltd. JP|Square Electronic Arts US	2000-07-07	2001-02-16	2000-11-13	
Final Fantasy Chronicles	Square Co., Ltd.	Square Electronic Arts	Unreleased	Unreleased	2001-06-29	
Final Fantasy Collection	Square Co., Ltd.	Square Co., Ltd.	1999-03-11	Unreleased	Unreleased	
Final Fantasy Tactics	SquareSoft	SquareSoft JP|SCEA NA	1997-06-20	Unreleased	1998-01-28	
The Final Round	Konami	Konami	1996-06-21	Unreleased	1996-08-31	
Finger Flashing	Affect	Affect	1999-07-15	Unreleased	Unreleased	
Fire ProWrestling G	S-Neo	Human Entertainment	1999-06-24	Unreleased	Unreleased	
Fire Pro Wrestling: Iron Slam '96	Human Entertainment	Human Entertainment	1996-03-15	Unreleased	Unreleased	
Firestorm: ThunderHawk 2|ThunderStrike 2 NA	Core Design	Core Design Victor Interactive Software JP	1996-05-24	1990-01-01	1990-01-01	
Firo and Klawd	Interactive Studios	BMG Interactive	1997-06-13	1996-11-01	Unreleased	
First Kiss Story	HuneX	Human Entertainment	1998-04-24	Unreleased	Unreleased	
Fisherman's Bait: A Bass Challenge|Exciting Bass JP	Konami	Konami	1990-01-01	Unreleased	1999-01-31	
Fisherman's Bait 2: Big Ol' Bass|Exciting Bass 2 JP	Konami	Konami Computer Entertainment Nagoya	1990-01-01	Unreleased	1999-11-24	
Fisherman's Bait 3	Konami	Konami Computer Entertainment Nagoya	Unreleased	Unreleased	2000-11-01	
Flintstones Bedrock Bowling	Adrenalin Interactive	Ubisoft	Unreleased	2000-08-18	2000-09-19	
Floating Runner	Kokopel	THQ	Unreleased	Unreleased	1996-01-01	
Fluid	Opus Corp	SCEE	Unreleased	1998-01-08	Unreleased	
Football Madness	Naps Team	Phoenix Games	Unreleased	2003-03-28	Unreleased	
Ford Racing	Toolbox Design	Empire Interactive	Unreleased	2001-02-16	2001-03-06	
Ford Truck Mania	Alpine Studios, Inc.	Gotham Games	Unreleased	Unreleased	2003-09-16	
Forgotten Residents	Nihon Bussan	Activation	Unreleased	Unreleased	2000-09-30	
Formation Soccer '97: The Road To France	Human Entertainment	Human Entertainment	1997-06-27	Unreleased	Unreleased	
Formula 1	Bizarre Creations	Psygnosis	Unreleased	1997-09-01	1996-09-30	
Formula 1 97	Bizarre Creations	Psygnosis	1998-01-15	1997-09-26	1997-09-30	
Formula 1 98	Visual Sciences	Psygnosis	Unreleased	1998-10-30	1998-11-30	
Formula Circus	Nihon Bussan	Nihon Bussan	1997-05-02	Unreleased	Unreleased	
Formula GP	Kung Fu Games	Midas Interactive	Unreleased	2003-02-21	Unreleased	
Formula Karts Special Edition	Manic Media Productions	Telstar Electronic Studios	Unreleased	1997-11-21	Unreleased	
Formula Nippon '99 JP   Formula Nippon PAL		TYO JP   EON PAL	1999-09-09	2000-01-01	Unreleased	
Formula One 99	Studio 33	Psygnosis|SCEE	1999-10-21	1999-10-20	1999-10-31	
Formula One 2000	Studio 33	SCEE	Unreleased	2000-10-06	Unreleased	
Formula One 2001	Studio 33	SCEE	Unreleased	2001-05-24	Unreleased	
Formula One Arcade	Studio 33	SCEE	Unreleased	2001-07-19	Unreleased	
Forsaken	Probe Entertainment	Acclaim	Unreleased	1998-04-01	1998-04-30	
Fox Hunt	3Vision Games	Capcom	Unreleased	Unreleased	1996-09-30	
FoxKids.com Micro Maniacs Racing NA|Denku Sekka Micro Runner JP|Micro Maniacs PAL	Codemasters	THQ	2000-11-02	2000-04-14	2000-10-02	
Fox Sports Golf '99	Gremlin Interactive	Fox Interactive	Unreleased	Unreleased	1998-06-30	
Fox Sports Soccer '99	Gremlin Interactive	Fox Interactive	Unreleased	Unreleased	1998-06-30	
Frank Thomas Big Hurt Baseball	Iguana Entertainment	Acclaim	1996-09-13	1996-10-01	1996-06-05	
Freestyle Boardin' '99	Atelier Double	Capcom	Unreleased	Unreleased	1999-02-28	
Freestyle Motocross: McGrath vs. Pastrana	Z-Axis	Acclaim	Unreleased	2000-12-08	2000-11-05	
Freestyle Scooter	Shaba Games	Ubisoft	Unreleased	2001-03-30	Unreleased	
Frenzy!	SCI Entertainment Group	SCI	Unreleased	1998-06-01	Unreleased	
Frogger	Millennium Interactive	Hasbro Interactive	Unreleased	1997-11-01	1997-09-30	
Frogger 2: Swampy's Revenge	Blitz Games	Hasbro Interactive	Unreleased	2000-01-01	2000-10-10	
From TV Animation - One Piece: Grand Battle!	Ganbarion	Atari PAL|Bandai JP	2001-03-15	2003-01-01	Unreleased	
From TV Animation - One Piece: Grand Battle! 2	Ganbarion	Bandai	2002-03-20	Unreleased	Unreleased	
Front Mission 1st	Square Co., LT.|G-Craft	Square Co., LT.	2003-10-23	Unreleased	Unreleased	
Front Mission 2	Square Co., LT.	Square Co., LT.	1997-09-25	Unreleased	Unreleased	
Front Mission 3	Square Co., Ltd.	Square Co., LT.	1999-09-02	2000-08-11	2000-02-29	
Front Mission: Alternative	Square Co., LT.	Square Co., LT.	1997-12-18	Unreleased	Unreleased	
Future Cop: LAPD	Electronic Arts	Electronic Arts	1999-08-05	1998-09-28	1998-08-31	
Future Racer PAL|Defeat Lightning JP	D Cruise	Midas Interactive PAL|D Cruise JP	1997-05-23	2002-04-12	Unreleased	
Fuuun Gokuu Ninden		Aicom	1996-08-30	Unreleased	Unreleased	
G-Darius	Taito Corporation	THQ	1998-04-09	1998-01-01	1998-09-30	
G-Police	Psygnosis	Psygnosis	Unreleased	1997-10-01	1997-09-30	
G-Police: Weapons of Justice	Psygnosis	Psygnosis	Unreleased	Unreleased	1999-08-31	
G1 Jockey	Koei	Koei	1999-03-11	Unreleased	Unreleased	
G1 Jockey 2000	Koei	Koei	2000-02-03	Unreleased	Unreleased	
Gaball Screen	System Sacom	Antinos Records	1996-01-01	Unreleased	Unreleased	
Galaga: Destination Earth	King of the Jungle	Hasbro Interactive	Unreleased	2000-09-23	2000-10-22	
Galaxian³	High-Tech Lab Japan	Namco	1996-04-26	1996-04-26	Unreleased	
Galaxy Fight: Universal Warriors JP|Galaxy Fight PAL	Sunsoft	Sunsoft	1996-05-03	1996-04-30	Unreleased	
Galerians	Polygon Magic	ASCII Entertainment JP|Crave Entertainment PAL, NA	1999-08-26	2000-04-15	2000-03-29	
Gallop Racer	Tecmo	Tecmo	1999-03-18	Unreleased	1999-03-17	
The Game of Life	The Collective	Hasbro Interactive	Unreleased	Unreleased	1998-09-30	
Gamera 2000	Surveyor Corp.	Virgin Interactive	1997-04-25	Unreleased	Unreleased	
Ganbare Goemon: Kuru Nara Koi! Ayashige Ikka no Kuroi Kage	Konami Computer Entertainment Nagoya	Konami	1998-12-23	Unreleased	Unreleased	
Ganbare Goemon: Ōedo Daikaiten	Konami Computer Entertainment Kobe|Now Production	Konami	2001-03-29	Unreleased	Unreleased	
Ganbare Goemon: Uchū Kaizoku Akogingu	Konami	Konami	1996-03-22	Unreleased	Unreleased	
Gauntlet Legends	Midway Games	Midway Games	Unreleased	2000-06-28	2000-02-29	
Gekido|Gekido: Urban Fighters PAL	Naps Team	Infogrames	Unreleased	2000-01-01	2000-05-18	
Gekioh: Shooting King	Warashi	Natsume	1999-05-20	2004-02-01	2002-12-17	
Gensō Suikogaiden Vol. 1: Harmonia no Kenshi	KCET	Konami	2000-09-21	Unreleased	Unreleased	
Gensō Suikogaiden Vol. 2: Crystal Valley no Kettou	Konami	Konami	2001-03-22	Unreleased	Unreleased	
Geom Cube	Technos Japan	JP Technos Japan, NA Technos	1994-12-22	Unreleased	1995-12-01	
Gex	Crystal Dynamics	Crystal Dynamics	1996-03-08	1996-04-01	1995-12-13	
Gex: Enter the Gecko|Gex 3D: Enter the Gecko PAL|SpinTail JP	Crystal Dynamics	Midway Games	Unreleased	Unreleased	1998-01-31	
Gex 3: Deep Cover Gecko|Gex: Deep Cover Gecko PAL	Eidos Interactive	Crystal Dynamics	Unreleased	1999-04-01	1999-03-23	
Ghost in the Shell	Exact Co., Ltd.	THQ NA|Sony Computer Entertainment	1997-07-17	1998-07-01	1997-10-31	
Ghoul Panic	Eighting/Raizing	Namco JP|SCEE PAL	2000-04-20	2000-04-01	Unreleased	
Glover	Interactive Studios Ltd.	Hasbro Interactive	Unreleased	1999-01-01	1999-11-30	
Goal Storm	Konami	Konami	Unreleased	Unreleased	1996-01-01	
Goal Storm '97	KCET	Konami	Unreleased	Unreleased	1997-01-01	
Gold and Glory: The Road to El Dorado	Revolution Software	Ubisoft	Unreleased	Unreleased	1997-01-01	
Golden Nugget	Hasbro Interactive	Virgin Interactive	Unreleased	Unreleased	1997-10-01	
Goofy's Fun House	The Code Monkeys	NewKidCo	Unreleased	2001-12-07	2001-07-01	
Gradius Gaiden	KCET	Konami	1997-08-28	Unreleased	Unreleased	
Grandia	Game Arts	Ubisoft	1999-06-24	2000-03-31	1999-10-26	
