Title-main	Title-na	Title-eu	Title-jp	Title-alt	regions	genre	subgenre
Fighter's History	Fighter's History		Fighter's History			Action	Fighting
Fighter's History: Mizoguchi Kikiippatsu!!			Fighter's History: Mizoguchi Kikiippatsu!!			Action	Fighting
Final Fantasy		Mystic Quest Legend			JP|NA|EU	RPG	Console-style RPG
Final Fantasy II	Final Fantasy IV				JP|NA	RPG	Console-style RPG
Final Fantasy III	Final Fantasy VI				JP|NA	RPG	Console-style RPG
Final Fantasy V					JP	RPG	Console-style RPG
Final Fight					NA|EU|JP	Action	Beat 'em up and hack and slash
Final Fight 2					NA|EU|JP	Action	Beat 'em up and hack and slash
Final Fight 3				Final Fight Tough (JP)	NA|EU|JP	Action	Beat 'em up and hack and slash
Final Fight Guy					NA|JP	Action	Beat 'em up and hack and slash
Final Set Tennis					JP	Sports	Tennis
Final Stretch					JP	Racing	Formula One
Fire Emblem: Genealogy of the Holy War					JP	Strategy	Turn-based strategy
Fire Emblem: Monshō no Nazo					JP	RPG	Tactical role-playing
Fire Emblem: Mystery of the Emblem					JP	Strategy	Turn-based strategy
Fire Emblem: Seisen no Keifu					JP	RPG	Tactical role-playing
Fire Emblem: Thracia 776					JP	RPG	Tactical role-playing
Fire Emblem: Thracia 776					JP	Strategy	Turn-based strategy
Fire Pro Joshi: All Star Dream Slam					JP	Sports	Wrestling
The Firemen					EU|JP	Adventure	Action-adventure
Firepower 2000	Firepower 2000	Super Swiv	Super SWIV			Shooter	Scrolling shooter
Firestriker				Holy Striker (JP)	NA|JP	Action	Ball and paddle
First Queen: Ornic Senki					JP	Strategy	
First Samurai					NA|EU|JP	Action	Beat 'em up and hack and slash
Fishing Koushien					JP	Sports	Fishing
Flashback	Flashback: The Quest for Identity	Flashback	Flashback			Platform	Cinematic platformer
The Flintstones: The Treasure of Sierra Madrock	The Flintstones: The Treasure of Sierra Madrock	The Flintstones: The Treasure of Sierra Madrock	Flintstones: The Treasure of Sierra Madrock			Platform	
Flintstones: The Movie	Flintstones: The Movie	Flintstones: The Movie				Platform	
Flying Hero: Bugyuru no Daibouken			Flying Hero: Bugyuru no Daibouken			Shooter	Scrolling shooter
Football Fury			Ultimate Football		NA|JP	Sports	American Football
Foreman For Real					NA|EU|JP	Sports	Boxing
Fortune Quest: Dice wo Korogase						Traditional games	Board games
Frank Thomas' Big Hurt Baseball					NA|EU|JP	Sports	Baseball
Frantic Flea	Frantic Flea	Frantic Flea				Platform	
Frogger	Frogger					Platform	Comical action game
From TV Animation Slam Dunk 2: IH Yosen Kanzenhan!!					JP	Sports	Basketball
From TV Animation Slam Dunk: Dream Team Shueisha Limited					JP	Sports	Basketball
From TV Animation Slam Dunk: SD Heat Up!!					JP	Sports	Basketball
From TV Animation Slam Dunk: Shikyou Gekitotsu!!					JP	Sports	Basketball
Front Mission					JP	RPG	Tactical role-playing
Front Mission: Gun Hazard			Front Mission: Gun Hazard			Platform	
Full Throttle: All-American Racing				Full Power (JP)	NA|EU|JP	Racing	Multiple styles
Fun 'n' Games	Fun 'n' Games	Fun 'n' Games				Multi-game collection	
Funaki Masakatsu no Hybrid Wrestler: Tōgi Denshō					JP	Sports	Wrestling
Fune Tarou					JP	Sports	Fishing
G-O-D: Mezame yoto Yobu Koe ga Kikoe					JP	Adventure	Action-adventure
G.O.D - Mezameyo to Yobu Koe ga Kikoe					JP	RPG	Console-style RPG
Gaia Saver					JP	RPG	Action RPG
Gakkou de Atta Kowai Hanashi					JP	Adventure	Survival horror
Galaxy Robo					JP	Strategy	Turn-based strategy
Galaxy Wars			Galaxy Wars			Shooter	Fixed shooter
Gambler Jikochuushinha 2: Dorapon Quest					JP	Traditional games	Gambling
Gambler Jikochuushinha: Mahjong Kouisen					JP	Traditional games	Gambling
Gambling Hourouki					JP	Traditional games	Gambling
Game no Tatsujin						Traditional games	Board games
Game no Tetsujin: The Shanghai					JP	Traditional games	Tile games
Gamera: Gyaosu Gekimetsu Sakusen					JP	Strategy	Real-time strategy
Gan Gan Ganchan			Gan Gan Ganchan			Action	Maze
Ganbare Daiku no Gensan					JP	Action	Beat 'em up and hack and slash
Ganbare Goemon 2: Kiteretsu Shogun Magginesu					JP	Action	Beat 'em up and hack and slash
Ganbare Goemon 3: Shichijuurokubei no Karakuri Manji Katame					JP	RPG	Action RPG
Ganbare Goemon Kirakira Douchuu: Boku ga Dancer ni Natta Wake					JP	Action	Beat 'em up and hack and slash
Ganpuru: Gunman's Proof					JP	Adventure	Action-adventure
Ganso Pachi-Slot Nippon'ichi					JP	Traditional games	Gambling
Ganso Pachinko Ou					JP	Traditional games	Gambling
GD Leen					JP	RPG	
Gegege no Kitarou: Fukkatsu! Tenma Daiou			Gegege no Kitarou: Fukkatsu! Tenma Daiou			Platform	
Gekitotsu Dangan Jidōsha Kessen: Battle Mobile					JP	Racing	Vehicular combat
Gekitou Burning Pro Wrestling					JP	Sports	Wrestling
Gemfire				Super Royal Blood (JP)	NA|JP	Strategy	Turn-based strategy
Genghis Khan II: Clan of the Grey Wolf				Super Aoki Ookami to Shiroki Meshika: Genchou Hishi (JP)	NA|JP	Strategy	Turn-based strategy
Genjū Ryodan					JP	RPG	
Genocide 2			Genocide 2			Action	
George Foreman's KO Boxing					NA|EU	Sports	Boxing
Getsumen no Anubis					JP	Adventure	Graphic adventure
Ghost Chaser Densei					JP	Action	Beat 'em up and hack and slash
Ghost Sweeper Mikami: Joreishi ha Nice Body			Ghost Sweeper Mikami: Joreishi ha Nice Body			Platform	
Ghoul Patrol	Ghoul Patrol	Ghoul Patrol	Ghoul Patrol			Shooter	Multidirectional shooter
Ginga Eiyuu Densetsu: Senjutsu Simulation					JP	Simulation	
Ginga Sengoku Gunyuuden Rai					JP	Strategy	Turn-based strategy
Gintama Oyakata no Jissen Pachinko Hisshouhou					JP	Traditional games	Gambling
Gionbana					JP	Traditional games	Tile games
Go Go Ackman			Go Go Ackman			Platform	
Go Go Ackman 2			Go Go Ackman 2			Platform	
Go Go Ackman 3			Go Go Ackman 3			Platform	
Go! Go! Dodge League					JP	Sports	Dodge ball
Goal!	Goal!	Super Goal!	Super Cup Soccer		NA|EU|JP	Sports	Football
Gods	Gods	Gods				Platform	
Godzilla: Kaijuu Daikessen					JP	Action	Beat 'em up and hack and slash
Gokinjo Bōkentai					JP	Adventure	Action-adventure
Gokujō Parodius! ～Kako no Eikō o Motomete～			Gokujō Parodius! ～Kako no Eikō o Motomete～			Shooter	Scrolling shooter
Gon			Gon			Platform	
Goof Troop				Goofy to Max: Kaizoku Shima no Daibouken (JP)	JP|NA|EU	RPG	Action RPG
GP-1					NA|EU|JP	Racing	Motorcycle Racing
GP-1: Part II				GP-1 Rapid Stream (JP)	NA|JP	Racing	Motorcycle Racing
Gradius III	Gradius III		Gradius III			Shooter	Scrolling shooter
Granhistoria: Genshi Sekaiki					JP	RPG	
The Great Battle Gaiden 2					JP	Action	Beat 'em up and hack and slash
The Great Battle III					JP	Action	Beat 'em up and hack and slash
The Great Battle IV			The Great Battle IV			Shooter	Scrolling shooter
The Great Battle V			The Great Battle V			Shooter	Scrolling shooter
The Great Waldo Search					NA	Puzzle	Action puzzle
GT Racing					JP	Racing	Sports Car Racing
GunForce	GunForce	GunForce	Gunforce: Battle Fire Engulfed Terror Island			Shooter	Run and gun
Gurume Sentai Barayarō					JP	Action	Beat 'em up and hack and slash
Habu Meijin no Omoshiro Shōgi						Traditional games	Board games
Hagane: The Final Conflict				Hagane (JP)	NA|EU|JP	Action	Beat 'em up and hack and slash
Haisei Mahjong Ryouga					JP	Traditional games	Tile games
Hakunetsu Pro Yakyuu '93: Ganba League					JP	Sports	Baseball
Hakunetsu Pro Yakyuu '94: Ganba League 3					JP	Sports	Baseball
Hal's Hole in One Golf				Jumbo Ozaki no Hole In One (JP)	NA|EU|JP	Sports	Golf
HammerLock Wrestling				Tenryuu Genichiro no Pro Wrestling Revolution	NA|JP	Sports	Wrestling
Hana no Keiji: Kumo no Kanata ni			Hana no Keiji: Kumo no Kanata ni			Action	Fighting
Hanafuda					JP		
Hanafuda Ou					JP	Traditional games	Card games
Hanjuku Hiro: Ah, Sekai yo Hanjuku Nare					JP	Strategy	Real-time strategy
Hanna Barbera's Turbo Toons		Hanna Barbera's Turbo Toons				Party	
Haō Taikei Ryū Knight					JP	RPG	Action RPG
Hardball 3					NA	Sports	Baseball
Harley's Humongous Adventure	Harley's Humongous Adventure	Harley's Humongous Adventure	Kagakusha Harley no Haran Banjou			Platform	
Harukanaru Augusta					JP	Sports	Golf
Harukanaru Augusta 2: Masters					JP	Sports	Golf
Harukanaru Augusta 3: Masters New					JP	Sports	Golf
Harvest Moon				Bokujou Monogatari (JP)	JP|NA|EU	RPG	Action RPG
Hashire Hebereke			Hashire Hebereke			Platform	
Hashiriya Tamashii: Rider's Spirits					JP	Racing	Motorcycle Racing
Hat Trick Hero 2			Hat Trick Hero 2		JP	Sports	Football
Hatayama Hatch no Pro Yakyuu News! Jitsumei Han					JP	Sports	Baseball
Hayashi Kaihou Kudan no Igo Oodou						Traditional games	Board games
Hayazashi Nidan Morita Shogi						Traditional games	Board games
Hayazashi Nidan Morita Shogi 2						Traditional games	Board games
Hebereke no Oishii Puzzle: ha Irimasen ka					JP	Puzzle	Action puzzle
Hebereke's Popoitto	Hebereke's Popoitto		Popoitto Hebereke		JP|EU	Puzzle	Matching
Hebereke's Popoon	Hebereke's Popoon		Hebereke no Popoon		JP|EU	Puzzle	Matching
Heian Fuuunden					JP	RPG	
Heisei Gunjin Shougi						Traditional games	Board games
Heisei Inu Monogatari Bow: Pop'n Smash!!					JP	Action	Ball and paddle
Heisei Shin Oni Ga Shima (Part 1)					JP	Adventure	Graphic adventure
Heisei Shin Oni Ga Shima (Part 2)					JP	Adventure	Graphic adventure
Heiwa Pachinko World					JP	Traditional games	Gambling
Heiwa Pachinko World 2					JP	Traditional games	Gambling
Heiwa Pachinko World 3					JP	Traditional games	Gambling
Heiwa Parlor! Mini 8: Pachinko Jikki Simulation Game					JP	Traditional games	Gambling
Hercules no Eikō III					JP	RPG	Console-style RPG
Hercules no Eikō IV					JP	RPG	Console-style RPG
Hero Senki: Project Olympus					JP	RPG	Console-style RPG
Higashio Osamu Kanshuu Super Pro Yakyuu Stadium					JP	Sports	Baseball
Hiouden: Mamonotachi to no Chikai					JP	RPG	
Hissatsu Pachinko Collection					JP	Traditional games	Gambling
Hissatsu Pachinko Collection 2					JP	Traditional games	Gambling
Hissatsu Pachinko Collection 3					JP	Traditional games	Gambling
Hissatsu Pachinko Collection 4					JP	Traditional games	Gambling
Hisshou 777 Fighter II: Pachi-Slot Maruhi Jouhou					JP	Traditional games	Gambling
Hisshou 777 Fighter III: Kokuryuu Ou no Fukkatsu					JP	Traditional games	Gambling
Hisshou 777 Fighter: Pachi-Slot Ryuuguu Densetsu					JP	Traditional games	Gambling
Hisshou Pachi-Slot Fun					JP	Traditional games	Gambling
Hit the Ice					NA	Sports	Hockey
Hokuto no Ken 5					JP	RPG	
Hokuto no Ken 6			Hokuto no Ken 6			Action	Fighting
Hokuto no Ken 7			Hokuto no Ken 7			Action	Fighting
Holy Umbrella: Dondera no Mubo			Holy Umbrella: Dondera no Mubo			Platform	
Home Alone	Home Alone	Home Alone	Home Alone			Platform	
Home Alone 2: Lost in New York	Home Alone 2: Lost in New York	Home Alone 2: Lost in New York				Platform	
Home Improvement	Home Improvement					Platform	
Honkaku Mahjong: Tetsuman					JP	Traditional games	Tile games
Honkaku Mahjong: Tetsuman 2					JP	Traditional games	Tile games
Honkaku Shougi: Fuuunji Ryuuou						Traditional games	Board games
Honkakuha Igo: Gosei						Traditional games	Board games
Honke Sankyo Fever: Jikkyou Simulation					JP	Traditional games	Gambling
Honke Sankyo Fever: Jikkyou Simulation 2					JP	Traditional games	Gambling
Honke Sankyo Fever: Jikkyou Simulation 3					JP	Traditional games	Gambling
Honoo no Doukyuuji: Dodge Danpei					JP	Sports	Dodge ball
Hook	Hook	Hook	Hook			Platform	
Horai Gakuen no Bouken!					JP	RPG	
Houkago in Beppin Jogakuin			Houkago in Beppin Jogakuin			Simulation	Life simulation
Human Baseball					JP	Sports	Baseball
Human Grand Prix III: F1 Triple Battle					JP	Racing	Formula One
Human Grand Prix IV: F1 Dream Battle					JP	Racing	Formula One
The Humans		The Humans				Platform	Puzzle platformer
Hungry Dinosaurs		Hungry Dinosaurs	Harapeko Bakka		JP EU	Puzzle	Action puzzle
The Hunt for Red October	The Hunt for Red October	The Hunt for Red October	The Hunt for Red October			Shooter	Scrolling shooter
Hurricanes	Hurricanes	Hurricanes				Platform	
Hyper Iria			Hyper Iria			Platform	
Hyper V-Ball				Super Volley II (JP)	NA|EU|JP	Sports	Volleyball
HyperZone	HyperZone	HyperZone	HyperZone			Shooter	Tube and rail shooter
Idea no Hi					JP	RPG	
The Ignition Factor	The Ignition Factor		Fire Fighting			Action	
Igo Club						Traditional games	Board games
Ihatovo Monogatari					JP	Adventure	Action-adventure
Illusion of Gaia	Illusion of Gaia	Illusion of Time		Gaia Gensōki (JP)	JP|NA|EU	RPG	Action RPG
Illvanian no Shiro					JP	RPG	
Imperium	Imperium		Kidou Soukou Dion			Shooter	Scrolling shooter
Inazuma Serve da!! Super Beach Volley					JP	Sports	Volleyball
Incantation					NA|EU	RPG	Action RPG
The Incredible Crash Dummies	The Incredible Crash Dummies	The Incredible Crash Dummies	The Incredible Crash Dummies			Platform	
Incredible Hulk	Incredible Hulk	Incredible Hulk				Platform	
Indiana Jones' Greatest Adventures	Indiana Jones' Greatest Adventures	Indiana Jones' Greatest Adventures	Indiana Jones' Greatest Adventures			Platform	
Inindo: Way of the Ninja			Super Inindo: Datou Nobunaga		JP|NA	RPG	Console-style RPG
Inspector Gadget	Inspector Gadget					Platform	
International Superstar Soccer	International Superstar Soccer	International Superstar Soccer	Jikkyou World Soccer: Perfect Eleven		NA|EU|JP	Sports	Football
International Superstar Soccer Deluxe	International Superstar Soccer Deluxe	International Superstar Soccer Deluxe	Jikkyou World Soccer 2: Fighting Eleven		NA|EU|JP	Sports	Football
International Tennis Tour					NA|EU|JP	Sports	Tennis
Ippatsu Gyakuten: Keiba Keirin Kyōtei					JP	Adventure	Graphic adventure
Iron Commando: Koutetsu no Senshi					JP	Action	Beat 'em up and hack and slash
Isozuri: Ritou Hen					JP	Sports	Fishing
Itadaki Street 2: Neon Sign wa Bara Iro ni						Traditional games	Board games
The Itchy and Scratchy Game	The Itchy and Scratchy Game	The Itchy and Scratchy Game				Platform	
Itoi Shigesato no Bass Tsuri No. 1					JP	Sports	Fishing
Itou Haka Rokudan no Shougi Doujou						Traditional games	Board games
Izzy's Quest for the Olympic Rings	Izzy's Quest for the Olympic Rings	Izzy's Quest for the Olympic Rings				Platform	
J.League '96 Dream Stadium			J.League '96 Dream Stadium		JP	Sports	Football
J.League Excite Stage '95			J.League Excite Stage '95		JP	Sports	Football
J.League Excite Stage '96			J.League Excite Stage '96		JP	Sports	Football
J.League Soccer Prime Goal			J.League Soccer Prime Goal		JP	Sports	Football
J.League Soccer Prime Goal 2			J.League Soccer Prime Goal 2		JP	Sports	Football
J.League Super Soccer '95 Jikkyō Stadium					JP	Sports	Football
Jack Nicklaus Golf					NA|EU	Sports	Golf
Jaki Crush					JP	Action	Pinball
Jaleco Rally: Big Run: The Supreme 4WD Challenge					JP	Racing	Rally / Off-Road Racing
James Bond Jr.	James Bond Jr.	James Bond Jr.				Platform	
James Pond 2	Super James Pond	Super James Pond II	Super James Pond II			Platform	
James Pond 3: Operation Starfish		James Pond 3: Operation Starfish				Platform	
Jammes					JP	Puzzle	Action puzzle
Jammit					NA	Sports	Basketball
Janyuuki Gokuu Randa						Traditional games	Board games
JB The Super Bass					JP	Sports	Fishing
Jelly Boy		Jelly Boy				Platform	
Jeopardy! Deluxe Edition					NA	Traditional games	Trivia & game show
Jeopardy! Featuring Alex Trebek					NA	Traditional games	Trivia & game show
Jeopardy! Sports Edition					NA	Traditional games	Trivia & game show
Jikkyō Keiba Simulation: Stable Star					JP	Sports	Horse Racing
Jikkyō Oshaberi Parodius			Jikkyō Oshaberi Parodius			Shooter	Scrolling shooter
Jikkyō Power Pro Wrestling '96: Max Voltage					JP	Sports	Wrestling
Jikkyou Powerful Pro Yakyuu '94					JP	Sports	Baseball
Jikkyou Powerful Pro Yakyuu '96 Kaimaku Han					JP	Sports	Baseball
Jikkyou Powerful Pro Yakyuu 2					JP	Sports	Baseball
Jikkyou Powerful Pro Yakyuu 3					JP	Sports	Baseball
Jikkyou Powerful Pro Yakyuu 3 '97 Haru					JP	Sports	Baseball
Jikkyou Powerful Pro Yakyuu: Basic Han '98					JP	Sports	Baseball
Jim Lee's WildC.A.T.S: Covert Action Teams					NA	Action	Beat 'em up and hack and slash
Jim Power: The Lost Dimension in 3-D	Jim Power: The Lost Dimension in 3-D	Jim Power: The Lost Dimension in 3-D				Shooter	Scrolling shooter
Jimmy Connors Pro Tennis Tour					NA|EU|JP	Sports	Tennis
Jimmy Houston's Bass Tournament USA				Jissen! Bass Fishing Hisshouhou in USA (JP)	NA|JP	Sports	Fishing
Jirou Akagawa: Majotachi no Nemuri					JP	Adventure	Graphic adventure
Jissen Kyōtei					JP	Racing	Kyōtei
Jissen Pachi-Slot Hisshouhou					JP	Traditional games	Gambling
Jissen Pachi-Slot Hisshouhou! 2					JP	Traditional games	Gambling
Jissen Pachi-Slot Hisshouhou! Classic					JP	Traditional games	Gambling
Jissen Pachi-Slot Hisshouhou! Twin					JP	Traditional games	Gambling
Jissen Pachi-Slot Hisshouhou! Twin Vol. 2					JP	Traditional games	Gambling
Jissen Pachi-Slot Hisshouhou! Yamasa Densetsu					JP	Traditional games	Gambling
Jissen Pachinko Hisshouhou! 2					JP	Traditional games	Gambling
Jissen! Mahjong Shinan					JP	Traditional games	Tile games
Joe & Mac	Joe & Mac	Joe & Mac: Caveman Ninja	Joe & Mac: Tatakae Genshijin			Platform	
Joe & Mac 2: Lost in the Tropics	Joe & Mac 2: Lost in the Tropics	Joe & Mac 3: Lost in the Tropics	Tatakae Genshijin 3: Shuyaku wa Yappari Joe & Mac			Platform	
John Madden Football			Pro Football		NA|JP	Sports	American Football
John Madden Football '93			Pro Football '93		NA|EU|JP	Sports	American Football
JoJo's Bizarre Adventure					JP	RPG	
Joushou Mahjong Tenpai					JP	Traditional games	Tile games
Judge Dredd	Judge Dredd	Judge Dredd	Judge Dredd			Platform	
Jumpin' Derby					JP	Sports	Horse Racing
The Jungle Book	The Jungle Book	The Jungle Book	The Jungle Book			Platform	
Jungle no Ōja Tar-chan: Sekai Manyū Dai Kakutō no Maki			Jungle no Ouja Tar-chan: Sekai Manyuu Dai Kakutou no Maki			Platform	
Jungle Strike	Jungle Strike	Jungle Strike	Jungle Strike			Shooter	Multidirectional shooter
Jungle Wars 2 - Kodai Mahou Ateimos no Nazo					JP	RPG	Console-style RPG
Jurassic Park					NA|EU|JP	Adventure	Action-adventure
Jurassic Park 2: The Chaos Continues	Jurassic Park 2: The Chaos Continues	Jurassic Park 2: The Chaos Continues				Platform	
Justice League Task Force	Justice League Task Force	Justice League Task Force	Justice League Task Force			Action	Fighting
JWP Joshi Pro Wrestling: Pure Wrestle Queens					JP	Sports	Wrestling
Jyutei Senki					JP	Strategy	
Kablooey	Kablooey		Bombuzal		JP NA	Puzzle	Action puzzle
Kabuki Rocks					JP	RPG	
Kabuki-chou Reach Mahjong: Toupuusen					JP	Traditional games	Tile games
Kachō Kōsaku Shima: Super Business Adventure					JP	Adventure	Graphic adventure
Kakinoki Shougi			Kakinoki Shougi			Party	
Kamaitachi no Yoru					JP	Adventure	Visual novel
Kamen Rider					JP	Action	Beat 'em up and hack and slash
Kamen Rider SD: Shutsugeki!! Rider Machine					JP	Action	Beat 'em up and hack and slash
Kat's Run: Zen-Nippon K Car Senshuken					JP	Racing	Sports Car Racing
Katou Ichi-Ni-San Kudan Shougi Club			Katou Ichi-Ni-San Kudan Shougi Club			Party	
Kawa no Nushi Tsuri 2					JP	Sports	Fishing
Kawasaki Caribbean Challenge					NA	Racing	Multiple styles
Kawasaki Superbike Challenge					NA|EU	Racing	Motorcycle Racing
Keeper					JP	Puzzle	Action puzzle
Keiba Eight Special					JP	Sports	Horse Racing
Keiba Eight Special 2					JP	Sports	Horse Racing
Keiba Yosou Baken Renkinjutsu					JP	Sports	Horse Racing
Ken Griffey Jr. Presents Major League Baseball					NA	Sports	Baseball
Ken Griffey Jr.'s Winning Run					NA	Sports	Baseball
Kendo Rage				Makeruna! Makendou (JP)	NA|JP	Action	Beat 'em up and hack and slash
Kenyuu Densetsu Yaiba					JP	RPG	Action RPG
Kero Kero Keroppi no Bōken Nikki: Nemureru Mori no Keroleen					JP	RPG	Console-style RPG
Kessen! Dokapon Okukoku IV: Densetsu no Yuusha Tachi					JP	RPG	
Kevin Keegan's Player Manager				K.H. Rummenigge's Player Manager (DE)	EU|DE	Sports	Football
Kick Off				Super Kick Off (JP)	EU|JP	Sports	Football
Kick Off 3: European Challenge					EU	Sports	Football
Kid Klown in Crazy Chase	Kid Klown in Crazy Chase	Kid Klown in Crazy Chase	Kid Klown in Crazy Chase			Platform	
Kidō Keisatsu Patlabor					JP	RPG	Console-style RPG
Kidou Senshi Gundam F91: Formula Senki 0122			Kidou Senshi Gundam F91: Formula Senki 0122			Shooter	Fixed shooter
Kidou Senshi Gundam: Cross Dimension 0079					JP	Strategy	Real-time strategy
Kidou Senshi Z Gundam: Away to the NewType					JP	Strategy	Turn-based strategy
Kikuni Masahiko no Jantoushi Dora Ou					JP	Traditional games	Tile games
Kikuni Masahiko no Jantoushi Dora Ou 2					JP	Traditional games	Tile games
Killer Instinct	Killer Instinct	Killer Instinct				Action	Fighting
Kindai Mahjong Special					JP	Traditional games	Tile games
King Arthur & the Knights of Justice					NA	RPG	Action RPG
King Arthur's World	King Arthur's World	King Arthur's World	Royal Conquest			Platform	Puzzle platformer
The King of Dragons					NA|EU|JP	Action	Beat 'em up and hack and slash
The King of Rally					JP	Racing	Rally / Off-Road Racing
King of the Monsters	King of the Monsters	King of the Monsters	King of the Monsters			Action	Fighting
King of the Monsters 2: The Next Thing	King of the Monsters 2: The Next Thing		King of the Monsters 2			Action	Fighting
Kingyo Chuuihou! Tobidase Game Gakuen			Kingyo Chuuihou! Tobidase Game Gakuen			Platform	
Kinnikuman: Dirty Challenger					JP	Sports	Wrestling
Kirby no Kirakira Kizzu					JP	Puzzle	Action puzzle
Kirby Super Star	Kirby Super Star	Kirby's Fun Pak	Hoshi no Kirby Super Deluxe			Platform	
Kirby's Avalanche	Kirby's Avalanche	Kirby's Ghost Trap	Super Puyo Puyo		JP|NA|EU	Puzzle	Matching
Kirby's Dream Course				Kirby Bowl (JP)	NA|EU|JP	Sports	Golf
Kirby's Dream Land 3	Kirby's Dream Land 3		Hoshi no Kirby 3			Platform	
Kishin Douji Zenki: Batoru Raiden					JP	Action	Beat 'em up and hack and slash
Kishin Douji Zenki: Denei Raibu					JP	Action	Beat 'em up and hack and slash
Kishin Douji Zenki: Tenchi Meidou					JP	Action	Beat 'em up and hack and slash
Kishin Korinden Oni					JP	RPG	
Kiteretsu Daihyakka: Chōjikū Sugoroku						Traditional games	Board games
Knights of the Round					NA|EU|JP	Action	Beat 'em up and hack and slash
Konpeki no Kantai					JP	Strategy	
Kōryū Densetsu Villgust					JP	RPG	Action RPG
Koryu no Mimi					JP	Action	Beat 'em up and hack and slash
Kouryaku Casino Bar					JP	Traditional games	Gambling
Koushien 2					JP	Sports	Baseball
Koushien 3					JP	Sports	Baseball
Koushien 4					JP	Sports	Baseball
Kousoku Shikou: Shougi Ou						Traditional games	Board games
Koutetsu no Kishi					JP	Strategy	Turn-based strategy
Koutetsu no Kishi 2: Sabaku no Rommel Shougun					JP	Strategy	Turn-based strategy
Koutetsu no Kishi 3: Gekitotsu Europe Sensen					JP	Strategy	Turn-based strategy
Krusty's Fun House	Krusty's Super Fun House	Krusty's Super Fun House	Krusty's Super Fun House			Platform	Puzzle platformer
Kunio no Oden					JP	Puzzle	Action puzzle
Kunio-kun no Dodgeball da yo Zen'in Shūgō!!					JP	Sports	Dodge ball
Kuusou Kagaku Sekai Gulliver Boy					JP	RPG	Action RPG
Kyle Petty's No Fear Racing				Circuit USA (JP)	NA|JP	Racing	NASCAR
Kyouraku Sanyou Maruhon Parlor! Parlor!					JP	Traditional games	Gambling
Kyouraku Sanyou Maruhon Parlor! Parlor! 2					JP	Traditional games	Gambling
Kyouraku Sanyou Maruhon Parlor! Parlor! 3					JP	Traditional games	Gambling
Kyouraku Sanyou Maruhon Parlor! Parlor! 5					JP	Traditional games	Gambling
Kyouraku Sanyou Maruhon Parlor! Parlor! IV CR					JP	Traditional games	Gambling
Kyuuyaku Megami Tensei					JP	RPG	
Lady Stalker: Challenge from the Past					JP	RPG	Action RPG
Lagoon				Lagoon	JP|NA|EU	RPG	Action RPG
Lamborghini American Challenge					NA|EU	Racing	Sports Car Racing
Langrisser, Der					JP	RPG	Tactical role-playing
Laser Birdie: Get in the Hole					JP	Sports	Golf
Last Action Hero					NA|EU	Action	Beat 'em up and hack and slash
The Last Battle					JP	RPG	Console-style RPG
Last Bible III					JP	RPG	
Last Fighter Twin					JP	Action	Beat 'em up and hack and slash
The Lawnmower Man	The Lawnmower Man	The Lawnmower Man	Virtual Wars			Platform	
Leading Company					JP	Simulation	Business simulation
Leading Jockey					JP	Sports	Horse Racing
Leading Jockey 2					JP	Sports	Horse Racing
Legend					NA|EU	Action	Beat 'em up and hack and slash
The Legend of the Mystical Ninja				Ganbare Goemon: Yukihime Kyuushutsu Emaki (JP)	NA|EU|JP	Adventure	Action-adventure
The Legend of Zelda: A Link to the Past				Zelda no Densetsu: Kamigami no Triforce (JP)	JP|NA|EU	Adventure	Action-adventure
Lemmings	Lemmings	Lemmings	Lemmings			Platform	Puzzle platformer
Lemmings 2: The Tribes	Lemmings 2: The Tribes	Lemmings 2: The Tribes	Lemmings 2: The Tribes			Platform	Puzzle platformer
Lennus II					JP	RPG	Action RPG
Lester the Unlikely	Lester the Unlikely		Odekake Lester: Lelele no Le			Platform	
Lethal Enforcers	Lethal Enforcers	Lethal Enforcers	Lethal Enforcers			Shooter	Light gun shooter
Lethal Weapon	Lethal Weapon	Lethal Weapon				Platform	
Libble Rabble					JP	Puzzle	Action puzzle
Liberty or Death				Dokuritsu Sensou: Liberty or Death (JP)	NA|JP	Strategy	Turn-based strategy
Light Fantasy					JP	RPG	Action RPG
Light Fantasy II					JP	RPG	Action RPG
The Lion King	The Lion King	The Lion King	The Lion King			Platform	
Little Magic					JP	Adventure	Action-adventure
Little Master: Nijiiro no Maseki					JP	RPG	Tactical role-playing
Live A Live					JP	RPG	Action RPG
Lode Runner Twin: Justy to Liberty no Daibouken			Lode Runner Twin: Justy to Liberty no Daibouken			Platform	Puzzle platformer
Lodoss Tou Senki: Record of Lodoss War					JP	RPG	Action RPG
Logos Panic Goaisatu					JP	Puzzle	Action puzzle
Looney Tunes B-Ball				Looney Tunes Basketball (EU)	NA|EU	Sports	Basketball
Lord Monarch					JP	Adventure	Action-adventure
The Lost Vikings 2	The Lost Vikings 2	The Lost Vikings 2				Platform	Puzzle platformer
The Lost Vikings	The Lost Vikings	The Lost Vikings	Viking no Daimeiwaku			Platform	Puzzle platformer
Love Quest					JP	RPG	
Lucky Luke		Lucky Luke				Platform	
Lufia & the Fortress of Doom			Estopolis Denki		JP|NA	RPG	Console-style RPG
Lufia II: Rise of the Sinistrals		Lufia	Estopolis Denki II		JP|NA|EU	RPG	Console-style RPG
Lupin III: Densetsu No Hihou wo Oe!			Lupin III: Densetsu No Hihou wo Oe!			Platform	
