Title-main	Title-na	Title-eu	Title-jp	Title-alt	regions	genre	subgenre
Battle Commander: Hachibushuu Shura no Heihou					JP	Strategy	Turn-based strategy
Battle Cross					JP	Racing	Vehicular combat
Battle Dodgeball					JP	Sports	Dodge ball
Battle Dodgeball 2					JP	Sports	Dodge ball
Battle Grand Prix					NA|JP	Racing	Formula One
Battle Jockey					JP	Sports	Horse Racing
Battle Master - Kyuukyoku no Senshitachi			Battle Master - Kyuukyoku no Senshitachi			Action	Fighting
Battle Pinball					JP	Action	Pinball
Battle Racers					JP	Racing	Kart racing
Battle Robot Retsuden					JP	Strategy	
Battle Soccer 2					JP	Sports	Football
Battle Soccer: Field no Hasha					JP	Sports	Football
Battle Submarine					JP	Racing	Vehicular combat
Battle Tycoon: Flash Hiders SFX			Battle Tycoon: Flash Hiders SFX			Action	Fighting
Battle Zeque Den					JP	Action	Beat 'em up and hack and slash
Battletoads & Double Dragon					NA|EU	Action	Beat 'em up and hack and slash
Battletoads in Battlemaniacs					NA|EU|JP	Action	Beat 'em up and hack and slash
Bazooka Blitzkrieg	Bazooka Blitzkrieg		Destructive			Shooter	Light gun shooter
Beavis and Butt-head					NA|EU	Adventure	Action-adventure
Bébé's Kids					NA	Action	Beat 'em up and hack and slash
Beethoven's 2nd	Beethoven's 2nd	Beethoven's 2nd				Platform	
Benkei Gaiden - Suna no Shou					JP	RPG	
Best of the Best: Championship Karate				Super Kick Boxing (JP)	NA|EU|JP	Sports	Boxing
Best Shot Pro Golf					JP	Sports	Golf
Big Ichigeki! Pachi-Slot Daikouryaku					JP	Traditional games	Gambling
Big Ichigeki! Pachi-Slot Daikouryaku 2					JP	Traditional games	Gambling
Big Sky Trooper					NA|EU	RPG	Action RPG
Biker Mice From Mars					NA|EU	Racing	Vehicular combat
Bill Laimbeer's Combat Basketball					NA	Sports	Futuristic Sports
Bill Walsh College Football					NA	Sports	American Football
Bing Bing! Bingo						Traditional games	Board games
Biometal	Biometal	Biometal	BioMetal			Shooter	Scrolling shooter
Bishin Densetsu Zoku: The Legend of Bishin					JP	Racing	Futuristic Racing
Bishoujo Janshi Suchie-Pai					JP	Traditional games	Tile games
Bishoujo Senshi Sailor Moon				Sailor Moon (FR)	FR|JP	Action	Beat 'em up and hack and slash
Bishoujo Senshi Sailor Moon R					JP	Action	Beat 'em up and hack and slash
Bishoujo Senshi Sailor Moon S - Kondo ha Puzzle de Oshiokiyo!					JP	Puzzle	Action puzzle
Bishoujo Senshi Sailor Moon S - Kurukkurin					JP	Puzzle	Action puzzle
Bishoujo Senshi Sailor Moon Super S - Fuwa Fuwa Panic					JP	Puzzle	Action puzzle
Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen			Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen			Action	Fighting
Bishoujo Senshi Sailor Moon: Another Story					JP	Adventure	Action-adventure
Bishoujo Senshi Sailormoon S - Jougai Rantou!? Shuyaku Soudatsusen					JP	Action	Beat 'em up and hack and slash
Bisyoujyo Wrestlinger's History: Beauty Girl Wrestling					JP	Sports	Wrestling
Blackthorne	Blackthorne	Blackhawk	Blackthorne			Platform	Cinematic platformer
BlaZeon	BlaZeon: The Bio-Cyborg Challenge		BlaZeon			Shooter	Scrolling shooter
Block Kuzushi					JP	Action	Ball and paddle
The Blue Crystal Rod					JP	RPG	
Blues Brothers: Jukebox Adventure					NA|EU|JP	Adventure	Action-adventure
Bomberman B-Daman			Bomberman B-Daman		JP	Puzzle	
Boogerman: A Pick and Flick Adventure	Boogerman: A Pick and Flick Adventure	Boogerman: A Pick and Flick Adventure				Platform	
Bounty Sword					JP	RPG	
Boxing Legends of the Ring				Chavez II (MX); Final Knockout (JP)	NA|EU|JP	Sports	Boxing
Brain Lord				Brain Lord	JP|NA	RPG	Action RPG
The Brainies					NA EU	Puzzle	Action puzzle
Bram Stoker's Dracula	Bram Stoker's Dracula	Bram Stoker's Dracula	Dorakyura			Platform	
Brandish				Brandish	JP|NA	RPG	Action RPG
Brandish 2 - The Planet Buster				Brandish 2 - The Planet Buster	JP	RPG	Action RPG
Brawl Brothers				Brawl Brothers - Rival Turf! 2 (EU)|Rushing Beat Ran: Fukusei Toshi (JP)	NA|EU|JP	Action	Beat 'em up and hack and slash
BreakThru					NA	Puzzle	Action puzzle
Breath of Fire			Breath of Fire: Ryuu no Senshi		JP|NA	RPG	Console-style RPG
Breath of Fire II			Breath of Fire II: Shimei no Ko		JP|NA|EU	RPG	Console-style RPG
Brett Hull Hockey					NA|EU	Sports	Hockey
Brett Hull Hockey '95					NA	Sports	Hockey
Bronkie the Bronchiasaurus	Bronkie the Bronchiasaurus					Platform	
Brunswick World: Tournament of Champions					NA	Sports	Bowling
Brutal: Paws Of Fury	Brutal: Paws Of Fury	Brutal: Paws Of Fury	Brutal: Paws of Fury			Action	Fighting
BS-X: Sore wa Namae o Nusumareta Machi no Monogatari					JP	RPG	
Bubsy II					NA|PAL	Platform	Hop and bop
Bubsy in: Claws Encounters of the Furred Kind				Yamaneko Bubsy no Daibouken (JP)	NA|PAL|JP	Platform	Hop and bop
Bugs Bunny Rabbit Rampage	Bugs Bunny in Rabbit Rampage	Bugs Bunny in Rabbit Rampage	Bakkusu Banī Hachamecha Daibôken			Platform	
Bulls versus Blazers				NBA Pro Basketball: Bulls vs Blazers (JP)	NA|EU|JP	Sports	Basketball
Burai: Hachigyoku no Yuushi Densetsu					JP	RPG	
Bushi Seiryuuden: Futari no Yuusha					JP	RPG	
Bust a Move	Bust a Move		Puzzle Bobble		JP|NA|EU	Puzzle	Matching
Cal Ripken Jr. Baseball					NA|EU	Sports	Baseball
California Games 2					NA|EU|JP	Sports	Extreme sports
Cameltry	On the Ball	On the Ball	Cameltry			Action	Maze
Cannon Fodder					EU	Strategy	Real-time tactics
Capcom's MVP Football					NA	Sports	American Football
Capcom's Soccer Shootout			J.League Excite Stage '94		NA|EU|JP	Sports	Football
Captain America and the Avengers					NA|EU	Action	Beat 'em up and hack and slash
Captain Commando					NA|EU|JP	Action	Beat 'em up and hack and slash
Captain Novolin	Captain Novolin					Platform	
Captain Tsubasa 3: Koutei no Chousen					JP	Sports	Football
Captain Tsubasa 4: Pro no Rival Tachi					JP	Sports	Football
Captain Tsubasa 5: Hasha no Shogo Campione					JP	Sports	Football
Captain Tsubasa J: The Way to World Youth					JP	Sports	Football
Caravan Shooting Collection			Caravan Shooting Collection			Shooter	Scrolling shooter
Carrier Aces					NA|EU|JP	Flight	
Casper					NA|EU|JP	Adventure	Action-adventure
Castlevania: Dracula X	Castlevania: Dracula X	Castlevania: Vampire's Kiss	Akumajō Dracula XX			Platform	
CB Chara Wars - Ushinawareta Gag					JP	Action	Beat 'em up and hack and slash
Champions World Class Soccer					NA|EU|JP	Sports	Football
Championship Pool				Super Billiard (JP)	NA|EU|JP	Sports	Cue sports
The Chaos Engine	Soldiers of Fortune	The Chaos Engine				Shooter	Multidirectional shooter
Chaos Seed: Fuusui Kairoki				Chaos Seed: Fuusui Kairoki	JP	RPG	Action RPG
Chessmaster						Traditional games	Board games
Chester Cheetah: Too Cool to Fool	Chester Cheetah: Too Cool to Fool					Platform	
Chester Cheetah: Wild Wild Quest	Chester Cheetah: Wild Wild Quest					Platform	
Chibi Maruko-chan: Harikiri 365-Nichi no Maki						Traditional games	Board games
Chibi Maruko-chan: Mezase! Minami no Island!!			Chibi Maruko-chan: Mezase! Minami no Island!!		JP	Puzzle	
Chinhai					JP	Traditional games	Tile games
Chō Aniki: Bakuretsu Rantouden			Chō Aniki: Bakuretsu Rantouden			Action	Fighting
Chō Mahou Tairiku WOZZ				Chō Mahou Tairiku WOZZ	JP	RPG	Action RPG
Choplifter III	Choplifter III	Choplifter III	Choplifter III			Shooter	Scrolling shooter
Choujikuu Yousai Macross - Scrambled Valkyrie			Choujikuu Yousai Macross - Scrambled Valkyrie			Shooter	Scrolling shooter
Chrono Trigger			Kurono Torigā		JP|NA	RPG	Console-style RPG
Chuck Rock	Chuck Rock	Chuck Rock				Platform	
Civilization					NA|JP	Strategy	4X
Classic Road					JP	Sports	Horse Racing
Classic Road II					JP	Sports	Horse Racing
ClayFighter	ClayFighter	ClayFighter				Action	Fighting
ClayFighter 2: Judgement Clay	ClayFighter 2: Judgement Clay	ClayFighter 2: Judgement Clay				Action	Fighting
Claymates	Claymates	Claymates				Platform	
Cliffhanger					NA|EU	Action	Beat 'em up and hack and slash
Clock Tower					JP	Adventure	Survival horror
Clock Works					JP	Puzzle	Action puzzle
Clue						Traditional games	Board games
College Football USA '97: The Road to New Orleans					NA	Sports	American Football
College Slam Basketball					NA	Sports	Basketball
Columns			Columns		JP	Puzzle	Matching
The Combatribes					NA|JP	Action	Beat 'em up and hack and slash
Computer Nouryoku Kaiseki: Ultra Baken					JP	Sports	Horse Racing
Congo's Caper	Congo's Caper	Congo's Caper	Tatakae Genshijin 2: Rookie no Bouken			Platform	
Contra III: The Alien Wars	Contra III: The Alien Wars	Super Probotector: Alien Rebels	Contra Spirits			Platform	Run and gun platformers
Contra III: The Alien Wars	Contra III: The Alien Wars	Super Probotector: Alien Rebels	Contra Spirits			Shooter	Run and gun
Conveni Wars Barcode Battler Senki: Super Senshi Shutsugeki Seyo!					JP	Strategy	Turn-based strategy
Cool Spot	Cool Spot	Cool Spot	Cool Spot			Platform	
Cool World	Cool World					Platform	
Coron Land			Coron Land			Action	
Cosmo Gang: The Puzzle					JP	Puzzle	Action puzzle
Cosmo Gang: The Video			Cosmo Gang: The Video			Shooter	Fixed shooter
Cosmo Police Galivan II: Arrow of Justice					JP	Action	Beat 'em up and hack and slash
Crayon Shin-chan 2: Daimaou no Gyakushuu			Crayon Shin-chan 2: Daimaou no Gyakushuu			Platform	
Crayon Shin-chan: Arashi wo yobu Enji					JP	Action	Multi-genre action
Crystal Beans From Dungeon Explorer				Crystal Beans From Dungeon Explorer	JP	RPG	Action RPG
Cu-On-Pa					JP	Puzzle	Action puzzle
Cutthroat Island	Cutthroat Island	Cutthroat Island				Platform	
Cyber Knight					JP	RPG	
Cyber Knight II: Chikyuu Teikoku no Yabou					JP	RPG	
Cyber Spin				Shinseiki GPX: Cyber Formula (JP)	NA|JP	Racing	Futuristic Racing
Cybernator	Cybernator	Cybernator	Assault Suits Valken			Platform	Run and gun platformers
Cyborg 009			Cyborg 009			Platform	
D-Force	D-Force		Dimensional Force			Shooter	Scrolling shooter
Daffy Duck: The Marvin Missions	Daffy Duck: The Marvin Missions	Daffy Duck: The Marvin Missions				Platform	
Daibakushou Jinsei Gekijou			Daibakushou Jinsei Gekijou			Simulation	Life simulation
Daibakushou Jinsei Gekijou - Dokidoki Seishun			Daibakushou Jinsei Gekijou: Dokidoki Seishun			Simulation	Life simulation
Daibakushou Jinsei Gekijou - Ooedo Nikki			Daibakushou Jinsei Gekijou: Ooedo Nikki			Simulation	Life simulation
Daibakushou Jinsei Gekijou - Zukkoke Salary Man Hen			Daibakushou Jinsei Gekijou: Zukkoke Salary Man Hen			Simulation	Life simulation
Daikaijū Monogatari					JP	RPG	Console-style RPG
Daikaijū Monogatari 2					JP	RPG	Console-style RPG
Daisenryaku Expert					JP	Strategy	Turn-based strategy
Daisenryaku Expert WWII: War in Europe					JP	Strategy	Turn-based strategy
Darius Twin	Darius Twin	Darius Twin	Darius Twin			Shooter	Scrolling shooter
Dark Half					JP	RPG	
Dark Kingdom					JP	RPG	Console-style RPG
Dark Law: Meaning of Death					JP	RPG	Tactical role-playing
Date Kimiko no Virtual Tennis					JP	Sports	Tennis
David Crane's Amazing Tennis					NA|EU|JP	Sports	Tennis
Daze Before Christmas		Daze Before Christmas				Platform	
Deae Tonosama Appare Ichiban					JP	Adventure	Action-adventure
Dear Boys					JP	Sports	Basketball
Death and Return of Superman					NA|EU	Action	Beat 'em up and hack and slash
Death Brade			Death Brade			Action	Fighting
Dekitate High School			Dekitate High School			Simulation	Life simulation
Demolition Man	Demolition Man	Demolition Man				Platform	
Demon's Crest	Demon's Crest	Demon's Crest	Demon's Blazon Makaimura Monshō hen			Platform	
Dennis the Menace	Dennis the Menace	Dennis				Platform	
Derby Jockey 2					JP	Sports	Horse Racing
Derby Jockey: Kishu Ou heno Michi					JP	Sports	Horse Racing
Derby Stallion '96					JP	Sports	Horse Racing
Derby Stallion '98					JP	Sports	Horse Racing
Derby Stallion II					JP	Sports	Horse Racing
Derby Stallion III					JP	Sports	Horse Racing
Desert Strike: Return to the Gulf	Desert Strike: Return to the Gulf	Desert Strike: Return to the Gulf	Desert Strike: Return to the Gulf			Shooter	Multidirectional shooter
Dezaemon			Dezaemon: Kaite Tsukutte Asoberu			Shooter	Scrolling shooter
Dharma Doujou					JP	Puzzle	Action puzzle
Dig & Spike Volleyball				Volleyball Twin (JP)	NA|JP	Sports	Volleyball
Dino City	Dino City	Dino City	Dino Wars: Kyouryuu Oukoku heno Daibouken			Platform	
Dino Dini's Soccer					EU	Sports	Football
Dirt Racer					EU	Racing	Rally / Off-Road Racing
Dirt Trax FX					NA|EU	Racing	Motocross
Disney's Aladdin	Disney's Aladdin	Disney's Aladdin	Disney's Aladdin			Platform	
Disney's Beauty and the Beast	Disney's Beauty and the Beast	Disney's Beauty and the Beast	Bijo to Yajuu			Platform	
Disney's Bonkers	Disney's Bonkers		Disney's Bonkers			Platform	
